tweet_bersih,label_sentimen,label prediksi
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
brokoli chickel teriyaki samboza sekolah offline rajin bekal,1,positif
sekolah offline nas,0,netral
positif thinking yedam sekolah musik offline,0,netral
konser pasar malam sekolah we tatap muka lihat bal ra galau sek cerak denggung bak orang,1,positif
christyjkt pagi adik mangatts sekolah offline,1,positif
aduh kadang kesal sekolah offline keren pas pagi doang pulang kucel,-1,negatif
main handphone hubung sekolah offline alas bocah cilik main handphone atur wkwk jadwal main handphone malam jadwal ajar selesai jam,1,positif
sekolah daring selesai offline daring,0,netral
offline sekolah tugas kelompok crush melulu eh pas teman tugas informasi cewek,1,netral
christyjkt semangat sekolah offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
sekolah graduation offline ngumumin h smansa doang,0,netral
sekolah offline,1,positif
kelas kayak orang ling lung sekolah offline rumah fokus ajar ganggu benar bingung banget hancur stres banget henti ajar sekolah uji cari cuan repeat lageee,1,positif
kusut sekolahkuliah offline,0,netral
kemarin aktif promosi zenru eh sekolah tatap muka,0,netral
sekolah offline semangat,1,positif
eh sekolah kayak sekolah ku negeri urus ppdb anak mpkosis tingkat daring offline,0,netral
sudahhh didik anak usia kb sekolah murid merdeka basis sekolah daring tahun juli pindah sekolah offline kelas tk a,0,netral
allah tolong saya sekolah offline saya mos saya offlineee,1,positif
malas banget pulang sekolah pramuka offline,-1,negatif
makan teman jual makan kering bumbu kayak makaroni pedas keripik balado popcorn sekolah offline insyaallah beli,1,positif
banyak sekolah offline kak,1,netral
iya sekolah offline,-1,positif
normal sekolah kuliah offline full wfo gakebayang semembludak jalan,-1,negatif
hai teman teman sekolah offline tugas banget tawar jasa joki tugas tawar pilih joki ringan tugas temanteman banget sila kunjung website,-1,negatif
cung pat offline sekolah,0,netral
sekolah uji kakak mahasiswa kerja offline budak korporat,-1,negatif
observasi sekolah offline,-1,negatif
pagi kak christyjkt semangat semangat sekolah offline,1,positif
kerja sekolah kuliah offline please pakai masker jaga sehat hepatitis akut,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
senang banget sekolah ku tatap muka rasa duduk meja orang,1,positif
wkwk bisaaku pas kelas kemarin ribet banget sidang wisuda garing banget daring ih sakit hati sekolah tatap muka wisuda kelas daring,0,netral
selamat malam mohon perhati sekolah tabur bogor full time tatap muka metode ajar jarak jauh mana anak anak jenuh metode ajar jarak jauh samping sekolah ajar full time seko,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
pegang handphone pulang sekolah urus makan siang anak prepare kumon handphone pakai zoom beres anak offline kumon sibuk antar jemput,-1,negatif
outfit of the day ransel jalan sekolah kuliah kerja affordable offline,0,netral
daftar ulang offline kak sekolah tuju,0,netral
please rencana sekolah padat banget kangen suasana full offline,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
gara teman sakit berngkat pas masuk sekolah offline,-1,negatif
saya pacar uwunya era offline nder jarang post media sosial real hadap orang kantin koridor teman guru sekolah saksi bisu pacar saya,1,negatif
christyjkt semangat adik sekolah offline,1,positif
sekolah offline maksud,-1,negatif
good luck dekel sekolah full daring pat offline saya nilai fisika saya,-1,negatif
dear guru saya pandemi sekolah offline kelas pas masuk kelas susun ulang hidup saya beranta banyak rumah puter ulang otak saya lambat pas kelulus susahin kasihan anak angkat saya anjing,-1,negatif
daftar ppdb jawa timur daring kak tinggal tunggu daftar daftar offline daftar ulang sekolah tuju,0,netral
jujur expect rank sekolah semester aihhh takut banget pat offline make handphone suka leggy labkom masuk angin,-1,negatif
saya mpls offline please lulus saya sekolah tenang,1,positif
pat sekolah saya offline saya banyakkkk banget interaksi mantan crush wowowow keren ayesha,1,positif
bagus siap sekolah tatap muka salah asumsi,1,positif
ppkm level jabodetabek terap ajar tatap muka sekolah,1,positif
antar riski sekolah offline kemarin menang kelas anak beliau nilai kosong semester beliau orang sakit kdd beisi handphone,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
sekolah offline saya hari makan kali,1,negatif
kampussekolah full offline kampus semester offline huffttt kerjaa,-1,negatif
malam saya janji teman sekolah ambil ijazah saya izin dosen teman saya telpon maaf cha dosen saya masuk offline,0,netral
gantung topik jadi referensi hapus ilmu tahu alam ilmu tahu sosial spill utbk wisuda sistem zonasi uji sekolah cbt offline,0,netral
gila cuek banget bolos sekolah pulang pas kuliah offline semangat bolos pas onlineoffline malas banget masuk takut c,-1,negatif
ucap pakai sticky notes banget kopit tertawa zoom nyanyinyanyi sekolah kasih kue tatap muka batas sedikitannn sepi saya habis celaka bicara wkwk,0,netral
senang deh lihat orang pakai seragam sekolah kuliah offline,1,positif
iya gara gara sekolah offline,1,negatif
baca cari paudtk anak ragu tatap muka full tk coba lihat sekolah murid merdeka deh ambil reguler x minggu daring ambil kelas khusus literasi numerasi kelas luring hubung kota foundernya cikal,1,netral
turut sekolah offline banyak sekolah pulang jam sore itu ekskul maghrib pulang pensiun,0,netral
rasa banget minus sekolahkuliah daring maaf kerja orang lupa batas jam offline malam istirahat sungkan ganggu daring anggap rumah stand by handphone kadang,1,positif
sekolah les normal tatap muka,1,positif
kayak faktor saya sekolah offline malesss banget buka twit,-1,negatif
minggu main main rumah teman keluar juga sekolah offline minggu ke ke,1,positif
terima banget pas saya lulus giat offline sekolah anjing hsusheishsje,-1,negatif
i want to dye my hair to full blonde sok bad sekolah offline,-1,negatif
sksks gara wfo offline sekolah kuliah kangen banget vibes sbt ramai but oke life goes on sibuk,0,netral
pantau laksana ajar tatap muka ptm perintah pusat bersamasama perintah daerah sekolah jaga serta didik sebar sakit puan maharani,-1,negatif
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gengs colong,-1,negatif
jam nguantuk pol tidur dibangkukasur langsung fakotr masuk sekolah offline pat kali,-1,negatif
allah pas harap covid hilang hilang sekolah offline semenjak ayu lupa teman sekolah ketemu banding cemburu,0,netral
o tertawa sekolah saya offline uji daring,0,netral
akhrinya adik sekolah tatap muka sekolah daring,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
tolong atulah anak rasa sekolah offline lepas masker gemeeeesssss,1,positif
oh iya jumat iyaiya sekolah offline wfo,1,netral
sibuk sekolah offline tugas banget,-1,negatif
deh lucu post benerbener lulus smantass kangen sekolah offline,1,negatif
kasitau kondisi offline sesuain compensation sekolah swasta internasional umrkonon digit,0,netral
akuisisi primagama sekrg anak sekolah offline bimbel ramai ajar langsung tatap muka ajar daring siswa sdsma kurang pilih ajar luring,1,positif
maaf wedeh sekolah offline yeayyy wkwk suka makan pedees yagesyaaa christyjkt,0,netral
id huhu sayang ku sekolah offline,1,netral
ppdb sekolah tengah juru slb jabartahun gelar daring orang tua serta didik daftar offline,0,netral
saya rasa pas sekolah offline jam kosong jam ajar manfaat guru ganti masuk sebentar pas negeri jam kosong jam istirahat pulang,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan pm,1,positif
sekolah saya wisuda offline alias flop banget,-1,negatif
kumpul keluarga pas raya arisan makan jajan piknik sekolah offline ketemu temennnnn dream allo bank dream coba kerennnnnn suka,1,positif
hai teman teman sekolah offline tugas banget tawar jasa joki tugas tawar pilih joki ringan tugas temanteman banget sila kunjung website,-1,negatif
kasih sekolah offline malas banget bebas masuk eh pas offline seru ketemu r,1,positif
nder libur sekolah offline,1,positif
cari kantin bukaa soalnyaa pas offline jarang jajan kantin sekolah mahasiswa cari jajan informasi kantin bukaa sekolah daerah jakarta utara maakasih guysss,1,positif
bayang pas sekolah offline bawa bekal,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
kamu masuk santai ajasih by the way daring offline butuh adaptasi iya saran akumah berekspektasi sisa kamu amat sekolah gaul gitudeh ide aktif,1,positif
allah gede kamu nder pakai kacamata buram banget coba tegesin ayah buram kayak hambat ajar sekolah offline lihat papan tulis,0,netral
sekolah offline jarang on tt mingdep uji naik kelas,-1,negatif
bun gek tatap muka suka nek kelas sekolah full siapsiap mamak,1,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
butter pas pandemi sekolah darig kerja rumah streaming udsh offline streaming tunggu berea sekolahkerja,0,netral
bismillah gapyear sekolah laptop pengem banget ajar word excell ikut ekskuldi sekolah corona offline ajar excell word kelas daring mandiri,1,positif
berangkat sekolah wkwk kadang offline kadang daring capek banget by the way berangkat sekolah semangat streaming,1,positif
semenjak sekolah offline kayak jarang pakai,-1,negatif
turut jaman zaman daring sekolah tugas meet kayak sekolah ku hikd offline turut presentasi presentasi kelompok butuh laptop etik etik pakai handphone,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
woahhhh sekolah offline kah waaaaaah mangattt ness,1,positif
salah adaptasi pandemi tatap muka penuh sekolah anak jadwal kerja,-1,negatif
presentasi offline kayak sekolah maju beda,0,netral
gila doa virus uji daring egois mental uji offline sekolah rebah scroll tiktok,-1,negatif
isi kosong giat manfaat kembang minat bakat contoh sekolah eventseminarlomba offlineonline sender kuliahkerja banget giat dekat tuhan tenang nder,1,positif
senang banget saya anak sekolah offline saya bebas rumah,1,positif
tani jaman sekolah offline daring butuh nge tingkat yuk ikut challenge,0,netral
sidang offline berkas pas teliti pakai bawa teliti sekolah bawa lembar pretest posttest siswa,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
christyjkt semangat sekolah offline kitty,1,positif
idol sekolah tatap muka awkward kayak kenal sekolah kayak murid reply teman,0,netral
sekolah minggu capek banget offline manusia kelas,-1,negatif
yakaann uji offline sekolah deg degan banget,-1,negatif
fess offline covid sekolah tutup buka minggu dadak ppsmb daring tahu berita bal offline,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli tani,1,positif
oh nder akhir semester distract uji sekolah kemarin minggu offline ganti uji praktik tryout provinsi hari,0,netral
sekolah saya kayak suruh anakanak sontek offline ngerjainnya pakai handphone,-1,negatif
amarusunshine ah lumayan kelas bosan banget sekolah offline susah tugas kelompok circlean main,1,positif
yeay episode borneo bekesah tonton kamu saudara laki iya alif tracy sharing sekolah onlinedan banding sekolah tatap muka relate banget tonton saudara laki,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
tinggal pas sekolah offline orang circle ku nge fg semuaa peduli pindah sekte jepanganime manga,0,netral
daring main handphone nugas offline obrol muterin sekolah main handphone kantin tidur,1,positif
ih mah selaluuu sekolah offline kadang minum air lemon kelas,1,positif
saya dilemma banget anjing sekolah libur offline agustus libur juni juli sampeee visa student saya selesai orang rumah berangkat libur benar saya menang banget sesal,-1,negatif
tertawa minggu kasih uang jajan lupa sekolah offline,-1,negatif
sekolah surabaya anak kelas graduate offline sekolah ku daring anjing gemas banget,0,netral
sekolah offline kerja kuliah army streaming giat pas rumah rumah sekolah daring streaming kurang kirim menfess kes jatuh semangat,1,positif
mas lupa pakai sunscreen iya percaya banget sekolah offline panas belang banget minder,-1,negatif
laksana lomba hardiknas luring tatap muka sekolah cinta kasih tzu chi lomba cerdas cermat debat nyanyi,1,netral
konspirasi weh habis covid terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gengs colong,-1,negatif
kamu pintar wisuda offline wkwk sekolah,-1,negatif
christyjkt senin sekolah offline upacara gaktapi sekolah seru kantin buka semangat have a nice day kakak ci christy,1,positif
dear saran ngehilangin belang semenjak sekolah offline muka belang banget bingung atas,-1,negatif
senang banget sekolah offline jajanaaaaaan,1,positif
konspirasi weh habis corona terbit cacar monyet gejala huhu sekolah offline weh capek ngang ngong ngang ngong ett waspada gengs colong,-1,negatif
christyjkt full sekolah offline,1,positif
ri anakanak sekolah tatap muka min daring,0,positif
sekolah offline panas banget wkwk,0,netral
halo fm henti langgan first media koneksi internet rumah sekolah offline mohon bantu fm terima kasih,0,netral
sekolah saya banget sekolah full offline pat full daring rumah,1,positif
alhamdulillah bahagia nomin kabar buruk pas offline sekolah,-1,negatif
sekolah teman saya drad wisuda offline,0,netral
kayak sekolah ngizinin uji sekolah alas izin deh kecuali sakit uji susul uji offline butuh awas langsung uji jalan gaadil,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
sekolah full tatap muka,-1,positif
jualann kayak makan makan ringan kayak cimol piscok offline lumayan lihat teman laku daerah nyesuain jajan cocok sekolah,0,netral
nightmare anjing deh tolong sekolah tatap muka buka kantin sekolah kereta swab mauuhiling,1,positif
sekolah solusi telepon genggam jadwal tatap muka murid fasilitas telepon genggam contoh desadesa telepon genggam orang tua kunjung guru prokes,1,positif
semenjak sekolah offline tidur siang harga,1,positif
rekan buana sadar jalan penuh rekan buana kendara pribadi transportasi anak sekolah ajar offline flashback rara caca,1,positif
seru giat untung pas kelas rasa sekolah offline semester wisuda acara pensi seru banget covid huhu,1,positif
daring offline sekolah kuliah,0,netral
changkyun stan giat ajar ajar tatap muka moga surup tempel jin sekolah,-1,negatif
sekolah besok upacara offlineonline,0,netral
ajar besok tanggal pat offline sekolah,1,positif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
sekolah wisuda nder daring offline,0,netral
kerja sekolah kuliah offline lupa pakai masker,1,negatif
protokol sehat prokes laksana ajar tatap muka ptm penuh sekolah kota mataram,1,positif
offline daring wkwk sekolah pakai handphone,0,netral
eh sekolah offline,1,netral
sekolah offline uji doang,1,netral
huhu makasii semangat yobien takut banget besok uji naik offline sekolah uji daring,-1,negatif
kantin sekolah pas offline jual sekolah dibolehin mama sekolah kantin tutup c word,0,positif
paksa pakjangan rakyat uber kerumahdirazia dijalanananak buru seko intimidasi gurudiancam sekolah tatap muka dllyg sehat vaksin sila sehat alami paksa,-1,negatif
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang kader partai demokrasi indonesia juang puan,1,positif
christyjkt open joki sekolah offline direct message,0,netral
nder lingkung gaul cari hshsh seru sekolah offline,1,positif
aroma anak sekolah offline deh,-1,negatif
libur semester anak sekolah offline,1,positif
good night christyjkt rest well besok senin maksud bangun pagi sekolah offline upacara wkwk selamat tidur,1,positif
tokbuk langgan beli daring offline kesana beli buku sekolah,0,netral
puan syukur indonesia pasuk fase endemi covid kondisi anakanak ajar tatap muka ptm sekolah tenang puan peduli orang cilik,1,positif
