tweet,sentimen,prediksi
pagiiii sekolah offline degan banget plisss,negatif,negatif
anjing besok sekolah offline,negatif,negatif
sekolah offline,netral,netral
ow hore sekolah offline,positif,positif
sekolah offline daerah zona merah,negatif,positif
bes masuk sekolah offline rambut warnain marah kaget pas masuk guru marah suruh ganti warna hitam,positif,positif
beli permen birutdi bingung beli permen biru bubblegum permen biru favku sekolah offline allah kangen jajan sekolah,positif,positif
semenjak saya sekolah offline asa minggu cepat banget dha minggu,netral,positif
beda berat siswa ajar dewe segi tugas saya lihat lihat beda saya sekolah offline adik saya deklarasi saya masuk sekolah sekolah,negatif,positif
besok sekolah offline antuk malas tidur,negatif,negatif
sekolah offline daring,netral,netral
malas banget besok sekolah offline,negatif,negatif
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,positif,positif
sekolah offline,netral,netral
sekolah offline istirahat sebentar banget bekal saya habis bawaa,negatif,negatif
proses pindah on ingin sekolah offline full day canda teman cepat banget lupa sakit,positif,positif
buka yttiktokigtwitternonton filmmain game sekolah offline pakai kouta,positif,netral
tidurr besok sekolah offline,positif,positif
masuk lihat kknya sekolah tk ikut ku masuk didik anak usia offline bunda,positif,positif
kangen musim hujan pas corona musim hujan pas sekolah offline,positif,positif
capek banget buset sekolahkuliah offline ketemu terbit benam matahari,negatif,negatif
