tweet,label_prediksi
Besok sy masuk sekolah (offline)🙂 sy mls sebenernya,negatif
@abbycdeee BTW GAIS TADI KITA SEKOLAH OFFLINE LOH YUHU,positif
"nyesel gua masuk sekolah offline, digibahin guru2 di kantor",negatif
besok sekolah offline lagi ha.. ha.. ha..,positif
KENAPA SIH SETIAP GUE KEBAGIAN SEKOLAH OFFLINE PASTI ULANGAN 👎🏻👎🏻👎🏻👎🏻 https://t.co/1Aq0eUMJzP,negatif
@chitaglorya__ HIIII KAK CHITAAAAA GIMANA HARI INI ? kalo aku hari ini capek bangetttt krn sekolah offline huhu,negatif
jgn nanya au feeling blue gmn.. gua gatauu pgn lanjutin apaa lgi kena writer’s block!!! samaa lgi cari kejadian pas sekolah offline biar rada nyata gtu au ny😀😀,positif
"haloo, junnie disinii. junnie mau bilang, mulai besok sampai minggu depan, junnie bakal PAS offline di sekolah (tidaaaa😭😭). jadii, kemungkinan junnie bakal off sampai junnie selesai PAS. maaf yaa caratdeul semuaa 😔😔👉👈 oiya, buat yang mau PAS atau lagi PAS, junnie doain -c-",netral
"@crarckers sekolah offline tadi jadi ngerasa cape aja, iyaa ❣️",negatif
@radenrauf besok ga sekolah offline,positif
"@56jae kurang tau kalau study tour itu diadakan kapan, soalnya aku sekolah offline cuman pas kelas 7. Kelas 8 nya daring, sampai kelas 9 aku mulai udah ptm :(",positif
"@convomf apa ya, dia nanya, kelas berapa... sekolah offline atau online, sukanya sekolah offline atau online",netral
offline kenapa capek bgt yaa apa krna gue udah ga sekolah lama ya jadi badan nya makin jompo trus kagok,negatif
@bayusaurus @lunai @schfess Kalo di sa pu daerah sempet online 1 semester saja. Jd dr bulan maret sampe agustus. Terus kita offline lg. Dulu pas online ya cmn dr web sekolah/wa. Dikasih file materi aja. Kadang jg ngerjain soal trs kirim wa. Kita gk pake zoom/gmeet/gcr/dsb.,positif
"@skrsbrees IHHB YAUDAH KALAU GITU JANGAN SEKOLAH OFFLINE, NANTI RENA SAKIT! DARING AJA TERUS GPP ASAL RENA NGGAK SAKIT",negatif
"@skrsbrees Ren tukaran yuk, aku juga kepingin sekolah online, tapi malah harus sekolah offline 😢",netral
Demi apapun pengen sekolah offline,positif
"Sekolah offline sesi siang kali ini kok bikin capek bgt yh, malah sampe pusing sekarang",negatif
@992sa_ sekolah online or offline,netral
"alesan utama gw pen sekolah offline biar ga disuruh-suruh, paling benci anak cwo diperlakuin keak raja sedangkan anak cwe like a BABU!",positif
@reveuseist UDAH MULAI SEKOLAH OFFLINE JUGA JADI AKKSJKSJSKS SIBUK BGTT😩😩😩,negatif
@daprivlifee oalah sekolah offline ya?,positif
aku kalo sekolah offline bisa loh otaknya jalan,positif
sya makan apa ya dlu pas sekolah offline? kok bisa nulis pake aksara sunda. https://t.co/44TozJeg2U,positif
"tbh sekolah offline seru aja, wlupun agk canggung krna udh lama ga ktmu tp seengganya gue kluar rumah gt loh???😥",positif
gamau sekolah offline:( bisa gasi sekolah nya bisa milih gitu? kayak kalo mau off ya off kalo mau on ya on,negatif
AAAAA LARI BESOK SEKOLAH OFFLINE,positif
Besok sekolah offline?!,positif
Kadang pengen aj gitu sekolah offline biar ga di rumah trs kesepian tapi juga mikir kalo offline pasti ongkos ojeknya pula👍,netral
"@thedyzebua97 @kaptenblink Buat yah buka yt,tiktok,ig,twitter,nonton film,main game 🤣 
Kalo sekolah udah offline jadi gk banyak pake kouta🙂",netral
kalo sekolah offline pilih jamkos https://t.co/ZssyTCRrGQ,positif
"@bertanyarl Tahun 2019 adalah tahun yg aku rindukan dan juga aku lupakan, dimana mungkin di tahun itu adalah terakhir nya masuk sekolah offline juga seru seruan dan di tahun itu juga papa dan bibi ku meninggal karena penyakit jantung",positif
@hourlykayy jadi mau sekolah offline,netral
"Selalu bawa, kecuali pas sekolah offline sekarang soalnya dilarang bawa bekal https://t.co/ULPeWejrAd",positif
"pernah. ngomong ke mama pas awal awal sekolah offline, jd stiap pulang sklh mama selalu nanya ""td sama siapa di sklh? udh ad temen?"" dan aku slalu jawab ""ga ada. ga punya temen hehe"". mama nyuruh pindah ke sesi pagi, tp aku bilangny ""entaran dulu, liat 1 minggu lg"" gituu. https://t.co/6XJLupinwT",positif
@convomf asik gak sekarang sekolah offline nya?,positif
@convomf lebih suka sekolah offline apa online?,netral
banget. pas mikirin sekolah offline deg'an mulu https://t.co/6h4vab10IN,negatif
"@Fajri_UN1TY lagi istirahat nih ji, cape abis sekolah offline:(",negatif
"bentar lagi sekolah offline
musowoooowoowowwo 😭",negatif
omg rabu depan gue sekolah offline,positif
Akhirnya besok gua bisa sekolah offline weh private class pula🥲🥲🥲 https://t.co/bq3WwGN95G,positif
lah anjrit mampus.. besok sekolah offline tapi ini kaos kaki putih dah kaga tau ilang kemana 😭😭😭😭😭,negatif
"biasanya 1 kali, tapi ini sekolah offline, jadi 2 kali https://t.co/kGu9H2Yl6a",positif
@convomf sekolah udh offline blm?,netral
anjir ak gah sekolah offline ssk ramangkat ah,negatif
"ajg lah, sekolah offline gurunya makin ngelunjak kalo kasih tugas",negatif
"Fess seneng banget sekolah udah pada offline lagi, jadi bisa jajan di sd https://t.co/bAelTB56ue",positif
gamau sekolah offline,netral
"SchApp! Aku siswa kelas 12 dan sekarang udah sekolah offline, setiap pulang sekolah pasti ngantuk pengen bgt tidur, padahal harusnya belajar untuk UTBK. Kasih tips dong cara kalian bisa melawan rasa kantuk, trus fokus belajar!! (Fyi, aku orangnya ga bisa belajar malem (ga fokus))",positif
"habis dari sekolah bersih bersih lagi kelas, dan mungkin setelah ini per awalan bulan November udah offline Dann bakalll sibukkkk",positif
sekolah offline terus😀,netral
@mataharibulet Klau lgi sekolah online/offline sih jam 6 lewat gitu trus klau weekend mah jam 12 an 😢😢,netral
@moonareas lebih suka sekolah offline apa online?,netral
"Anak twitter yang baru masuk sekolah offline pas mau minjem penghapus ke temennya

""Mjb nder,kamu pnya penghapus ga?""
""Gaada""
*temen satunya nyaut
""Mmf ikutan nimbrung nih aku ada""",positif
"Sch! Sekolah kalian udah seleksi ksn belum? Yang mau ikut seleksi geografi, kalian belajar nya dari mana ya.. apakah bimbel offline??",netral
"@goowdboy Mau ini boleh ga si😭, buat sekolah offline https://t.co/NBtH0fsZ6W",netral
"sch! gimana nih yg uda sekolah offline coba review dong?? 🫂 
kalo sender : masih belum/jarang interaksi sama temen, pada diem semua :( karena gda waktu istirahat juga, buat mapel jadi lebih paham dan gurunya okee si seru👍🏻 walaupun pulang pulang kerasa capekk 😣",positif
"tp serius loh bingung bgt sm temen kls yg seneng daring😃 lu bayangin gasi kalo offline tuh cuman sekolah 3 jam, guru jrg kasih pr, materi mudah dimengerti, lah daring? tugas, ngejar deadline, materi kaga ngerti, encok, begadang, hadeh",positif
"sekolah offline yang awal nya seru, makin lama makin banyak tugas 🥲🥲",negatif
PLS SEKOLAH OFFLINE MAY PERGI DUDNHZJS AEFER MY LOVE,positif
ck besok sekolah offline,positif
"💙 mending masuk ptmt atau engga? sikon saat ini aku udh kurang lebih memahami materi sekolah jadi sebenernya ga perlu sekolah offline lagi, udh berani nanya pertanyaan juga jd udh ga sungkan2 lg",negatif
"@mogcuu emang sepi moguuuu udh pada balik offline, sekolah kerja jg",netral
kalian dh pada sekolah offline?,netral
"@jaetheriel Iyaa, padahal semangatin aja udah cukup orang kan beda"" ya kesibukannya apalagi ini anak sekolah udah offline ada juga yg udah uts",positif
"➷ 26-10-2021
JAY TUSPI SCYLLA GEMES BANGET BANGET BANGET 😭 Pulang sekolah offline paket trade dateng rasanya tuh ksjshshjsgsgs 😭💗💕💖 https://t.co/UlifkBSyco",positif
@tigerlilyJey Foto terakhir yang bikin orang stress 🥲🙏🏻 tadi abis sekolah offline 😇 bissmilah ya allah 😰🙏🏻 sebelumnya makasih kak udh bikin GA ini sukses selalu 💜 https://t.co/aWHwLk9Jl5,negatif
Sekilas info...... MULAI SENIN DEPAN W SEKOLAH OFFLINE 😭😭😭😭,positif
"Aku baru selesai daring, abis siapin bwt besok sekolah offline juga",positif
@26Z1AX @convomf iya masi ada bau bau online banyak tugas yg makin aneh” mana nanti klau bener udah full offline sekolah ampe soreeeee😭,negatif
"@onnowpurbo Internet offline sebagai solusi Pembelajaran jarak jauh di sekolah

https://t.co/Lx2m9l6653",positif
"@bertanyarl Akhirnya masuk sma, punya temen baru, punya kegiatan baru, kebiasaan baru. AH JADI KANGEN SEKOLAH OFFLINE NORMAL KAN GUA ELAH",positif
"💭 pengen cepet cepet sekolah offline, jujur sekolah jadi satu satunya tempat kabur kalo lagi suntuk dirumah..",positif
sekolah offline membuat q capek tapi klw gk offline jadi tambah bego tiada tara😩,negatif
@dongsichceng sekolah offline membuatku capek trs tp kalo gak offline jadi tmbh bego😩,negatif
sekolah offline tuh seseru itu walaupun cape,positif
"yg vaksin mahasiswa, yang sekolah offline anak sd, komedi bener",positif
MAU SEKOLAH OFFLINE PLISSSS HUEE,positif
"Semenjak covid gw jd kenal kpop dan gk ad overthinking2an, pling ad dikit sama idol klo jrng update gt2 doang. Dan gw jg pindah sekolah pas covid jd temen2 bru blom ad yg tau muka gw. Tp semenjak gw sekolah offline ad beberapa tmn cowo yg ya gt..",negatif
"@jnxhwny jujur bener...
terus juga gw kalo sekolah offline no prob ga makan smpe rumah tapi kenapa skolah onlen gw laper mulu sksksk",positif
"bayangin anjir gue dari tadi pagi kebelet berak, mana sekolah offline",negatif
"saking dekatnya smp dengan rumah, belnya biasa kedengaran apalagi waktu itu masih sekolah offline. sekarang, belnya kedengaran lagi. senangnyaa everything’s going normal",positif
"@doyoungsvr haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",negatif
"@sa_rhmsoo haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",negatif
"@yochienori haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",negatif
"@yraluvs haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",negatif
"@jaexuchy haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",negatif
"@araacupcakes haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",negatif
kalian kalo sekolah offline bawa uang jajan brapa?,netral
@yearmiese Masih sekolah offline?,netral
"@ShopeeID pengen bgt buat beli laptop min, udah dari lama tapi belum kebeli
Butuh juga krn adekku akhirnya mulai sekolah offline, butuh laptop krn jurusannya

bismillah🙏",positif
"hii, kalian lagi sekolah offline apa online",netral
"Happy me
Ngantarin gempur sekolah offline 🥰 https://t.co/xYvckz2dFo",positif
"ini acc masih aktif yaa, jangan di unfoll :""
cuman aku jarang on karena aku udah sekolah offline",netral
lu kalo zoom class matiin kamera ya masuk sekolah offline lgsg begini bentukannya https://t.co/Amb7JOhlGR,negatif
"@bluehooun ayo mutualan priv kaa klo bolehh, aktif ga aktif si disini xnxknsks semenjak udah sekolah offline agak jarang buka akun ini huee",netral
sp yang udahhh sekolah offline cung,positif
@nrtama_ capee sama tugas sekolah online tp klo disuruh offline takut ketemu org baru😭,negatif
"@user231103 @armbdr @pearcchlt @mineisel @whtsAppbby Mabal online?
Soalnya setahuku PTM sekolah offline to?",positif
@FunthesticL Uda sekolah offline ??,netral
@paslevotre_16 udah sekolah offline lau?,netral
"semoga 2022 udah bisa sekolah offline kaya biasa yaa, capek bgt begini trs🥲",positif
@Fajri_UN1TY lagi sekolah offline nih kak https://t.co/Fz8ZTA789O,positif
"Kunci Jawaban Buku Tematik Tema 4 Kelas 3 SD Kewajiban dan Hakku di Rumah Halaman 14, 15, 16 dan 17: Meski sudah banyak sekolah yang memulai sekolah offline, namun sebagian besar proses belajar dari rumah masih dilakukan. https://t.co/0HiAyGcbsr",positif
"Jujur anjir, gue ga nyangka bisa lancar ngomong di depan kelas
Udah 2 tahun ga sekolah offline gt kan padahal, tapi tiba-tiba berani",negatif
@Fajri_UN1TY Lagi mau sekolah offline,positif
"haii tabi sudah pulangg sekolah offline , kamu offline atau online ?",netral
"@A_LuluJKT48 Demi kamu aku sr sambil sekolah, mana sekolah offline",negatif
"@itzelguise @armbdr Mjb, pelajaran tatap muka. Sekolah offline",positif
"Halo guys selamat siang,pada sekolah offline atau daring nihh",netral
@skrsbrees Loh masih daring?? Kukira udah sekolah offline,netral
Svt konser online apa offline? Kaget bgt baru pulang sekolah 😢,netral
Yang sekolah offline biasanta pulang jam berapaa?🤔,positif
"@schfess gpp kali beb, lu bisa sekolah offline aja udah sukur 😭 kangen tau daripada online dirumah sampe lulus",positif
@ournutrijijel Gue udah sekolah offline,positif
"@Fajri_UN1TY nugas nii,ak lgi sekolah offline",positif
"@Fajri_UN1TY lagi sekolah offline ji, ngantuk bangun tidur",positif
gasabar merasakan moment pulang sekolah pas sekolah offline,positif
Gasuka sekolah offline tapi cape sekolah online,negatif
"Giliran sekolah nya offline malah ga dibolehin sekolah, hadu.",positif
aaaa aku gak siap buat sekolah offline back normal,negatif
Kalian hari ini sekolah nya offline/online?,netral
"@alrighvt seruu xixi, sekolah nya offline atau online nii? jangan lupa makan yaa, hv a nice day!",positif
Pagii semua untuk yang sekolah offline semangat semuanya sch! https://t.co/1YIyyrkC9k,positif
Banyak yg udah offline ya sekolah/kuliahnya,netral
baru aja tadi bilang kangen sekolah offline wkwkwk https://t.co/SHsuaS2aE8,positif
@taedyflowery Ka mi Udah luluss sekolah? Atau blum offline?,netral
"aaa ko gada yg bilangin ak hpbd, lagi sekolah offline 😭😭😭 https://t.co/h6tmTxQk2S",positif
"besok sekolah offline, malam ini gw sibuk ngerjain semua tugas",negatif
sekolah offline bikin bete,negatif
"mau izin rest deh, ku mulai aktif sekolah offline. yang daring pun penuh tugas 😔",netral
"@Fajri_UN1TY Haii aji,, lagi apa ni?
Aku lagi sekolah offline https://t.co/crYc4aVy1S",positif
"@nctzenbase streamingnya liat waktu juga dimana waktu kalian luang, soalnya sekarang udah banyak yang sekolah offline looo ada yg kuliah jg, apalagi ini weekday kan ya, tp kalo kalian senggang yuk streaming🤩🤩🤩",netral
"@alyaavrd morning, lagi sekolah offline ya bestie. ☺️",positif
@oh4eva Sekolah offline njir aku hari ini,negatif
"@yeolbabylion SEMANGAT NA 😭 sekolah offline sih seru, yang ga seru tuh ntar gue ujian offline 😭😭😭😭",positif
"@Fajri_UN1TY Pagi ajii, absen sekolah offline dulu👋🏻 https://t.co/M6vw6Di1PV",positif
"yes offline school is cool, BUT NOT WITH UJIAN OFFLINE DI SEKOLAH",positif
@jaemcityx haiii makjii dr aku yg sekolah offline hjhi,positif
"@kimiychang @nctzenbase Karna sticker keluarnya hari jumat, orang2 udah punya banyak waktu luang, besoknya juga weekend. Kl favorite ini karna keluarnya hari senin, udah pada banyak yg sekolah, kuliah, kerja offline. Make sense juga sih ga secepet sticker",netral
kalian yg sekolah offline apa online?,netral
"@cherrybomn @nctzenbase Lah elu yang knp. Gua kan cuma bilang kalo udah pada sekolah offline si sender kalimat pertama aja 4m udah cukup? Udah puas? No! Big no! Kudu ngertiin keadaan juga dong di korea juga lagi pada ujian di indo pada sekolah offline jadi gabisa rajin streaming kaya sebelum""nya",negatif
Senin deoann udah sekolah offline yeyyy 😭🙏🏻🔪,positif
kenapa sekolah offline tugasnya banyak bat,negatif
@basejokitugas adikku lagi sekolah offline nih🤗,positif
Kerja offline tapi lebih suka sekolah plis wwkwk https://t.co/V9YPJJ8zMF,positif
Sekolah offline ya?,netral
@hizeusss Rilisnya hari senin dan akhir bulan :'). Masa masanya orang gawe sama sekolah dan kampus sekarang dah offline juga :'),positif
sekolah offline prnya makin banyak anj,negatif
"@luffbearr semangat sekolah offline nya melll, mapel apa tuh yg free?",positif
GW LG SEKOLAH OFFLINE ANJING MASA IYAAA GUE TERIAK KAYA ORANG GILA DI KELASS DASARR DEJUNNN,negatif
@basejokitugas sinii nanti jam 12 aku sekolah offline,positif
AAAA GUE ADA SEKOLAH OFFLINE PELAJARANNYA MTKKK MANA GURUNYA GALAK LAGI,negatif
"@convomfs Coba berangkat deh nder, buat latihan kalo udah  sekolah offline nanti kan berangkat tiap hari",positif
@convomfs ya kalo udah tau dr awal sekolahnya jauh kenapa pilih disitu? kan udah seharusnya take responsibilities sebagai seorang siswa. kalo dari awal offline juga lo bakal ke sekolah tiap hari,netral
sekolah offline/online??,netral
"SchApp! Yang sekolah offline, semangat ya!

✄・・・
🧐 Trivia: Katak padang pasir hanya keluar selama satu bulan di bulan Juli, dan tidur selama 11 bulan sisanya",positif
"hai, hari ini yang sekolah, sekolah nya offline apa online ni?",netral
"Pagi moots, yang sekolah offline semangat ya",positif
"@zwooflwr Ga pernah tidur nyenyak selama bulan Oktober 😭 sekolah masih online, tapi 2 minggu sekali offline. Okk u too!! Have a nice day too 🤩",positif
"Kalian sekolah nya offline/online?
Me: offline https://t.co/hhNLrb025W",netral
"hi aku hari ini sekolah offline
kalian offline/online?",netral
"Neozen, maaf gak bermaksud menyinggung siapapun. Kalo kalian mau ngingetin streaming gak papa bgt tapi harus baik2 juga jangan maksa apalagi dg kata2 yg kurang baik, inget sebagian drikita ada yg masih sekolah/kerja dan banyk yg mulai offline. Streaming sesempatnya aja  (cont..)",negatif
@msahrio sekolah offline atau online nih??,netral
"Pagii moots, pada sekolah online atau offline?",netral
"@lunaemovas Kita satu kaum, akhirnya ada orang yg gak suka kembali sekolah offline  😆",netral
akhirnya yang lain ngerasain capeknya sekolah offline,negatif
