"username","tweetcreatedts","tweet","label_sentimen"
"seoulkjinie","2021-10-26 18:25:14","langit bisa kah engkau turunkan hujan dengan petir besok? saya males sekolah offline :(","-1"
"schfess","2021-10-26 18:13:44","SchApp! sch! aku besok sekolah offline tapi takut, soalnya gada temen😞 temen kelas pada nge circle semua:((","-1"
"eganovriyela","2021-10-26 18:07:46","cantik kali pundi-pundi uangku😃 so thankful karena pandemi, gue jadi ngoleksi skinker. andaikan, gue sampe lulus sekolah offline. ni muka bakal hideung, dekil gakaruan pasti. uang2ku yang berpindah haluan dari nasi warteg ke skinker🤪 aga nyesel, dulu gue duit utuh gadubeli apa2 https://t.co/1Dwxw31ZaZ","0"
"kiothesims","2021-10-26 17:46:13","belom sekolah udh pengen pulang, alias gapengen sekolah offline 😠😠😠","-1"
"Zizizeeeee","2021-10-26 17:37:47","@wonijay @sbmptnfess Setau aku ga harus lomba offline dan antar sekolah sih, soalnya lomba online gini juga serti nya diibaratkan kayak lomba pada umumnya (yang offline) apalagi ini tingkat nasional (soalnya diadain univ untuk satu Indo) jadi seharusnya bisa dipake sih. Cmiiw ya","0"
"lovcstay","2021-10-26 17:31:19","besok pagi masuk sekolah offline tp sekaranh blom tidur kenapa ya","0"
"dyisrha","2021-10-26 17:20:13","Sekolah offline https://t.co/0HUTtqm5v6","0"
"vnsachrst","2021-10-26 17:12:18","tapi bsk yang sekolah offline giliran yg genapppp 😭😭😭","1"
"brxchiosaurs","2021-10-26 17:11:14","@BAALTlDDlES iyaah aman kl gituu xD

WKWKWKWK hayooo
aku kebiasaan sih gatau kenapa emg udh sejak SMP kebiasa bangun jam 4 gitu kalo sekolah/kuliah offline","1"
"kookooove","2021-10-26 17:09:54","Mau nangis gasi kek dulu pas masih normal sama offline sekolah.. setiap bangtan comeback selalu ikut po album trs fullpay mungkin grgr sibuk rl ga kerasa bgt tbtb udh rilis trs pada udh arrived ina 😭😭😭 bener bener se santai itu dulu.. tp skrng kek apa apa jadi lama bgtt 😔😔","0"
"rschrijven","2021-10-26 17:02:28","so tomorrow finally offline school... i don't know what to react karena pengumumannya tuh dua hari yg lalu, TWO DAYS AGO?? dan gue harus mencari segala peralatan sekolah yang gaktau dmn keberadaannya karena udh 2 tahun gak sekolah","0"
"O619hnjm","2021-10-26 16:57:37","semenjak sekolah offline tambah stress","-1"
"jimineyy95","2021-10-26 16:56:35","Tiba tiba mikir kaya gini.. 
Sering banget dibilang “hp teross” Nih ya padahal aku pegang hp terus kan juga buat sekolah yak. Kaya.. iya dulu sekolahnya offline jadi pagi sampe sore diem disekolah nggak pegang hp, nah malemnya baru tuh keliatan pegang hp. Tapi kalo sekarang..","1"
"staysrachaa","2021-10-26 16:55:36","@hwngsaint sekolah offline yg bikin aku gabisa tdr 😭","0"
"ceikocei","2021-10-26 16:50:33","besok aku sekolah offline 👌🏼","1"
"rainyxiann","2021-10-26 16:45:40","@parachietamol Aku hari ini sekolah offline full satu kelas. Buat aku yg di rumah gak punya temen, hari ini tu seneng banget!!! Having fun with ma bestie avv☹️❤️","1"
"Duckarinn","2021-10-26 16:39:52","@convomf Ga siap sekolah offline, eh tapi kayaknya gue doang","-1"
"kimthadess","2021-10-26 16:25:04","orang-orang membenci sekolah offline hanya karena keluhan pribadi mereka. tapi apa mereka tidak memikirkan apa yang terjadi di masa yang akan datang? ingin tidak normal terus?","1"
"kimthadess","2021-10-26 16:14:26","jangan gitu, mending dibiasakan. memang kamu mau sekolah online terus? bisa saja kamu kaya berdoa semoga p word ini diperpanjang lagi. mau sampe kapan? ayo, kalau tidak mau sekolah offline, silakan, masih ada yang namanya home schooling. https://t.co/2f4113NipW","1"
"haloiniaku09","2021-10-26 16:07:58","baru 3 hari sekolah offline gatau knp tp jd kayak mentally unstable","-1"
"ashratii","2021-10-26 16:07:38","adek gue dateng dateng nyari tas sekolah soalnya bsk offline","0"
"yulsisble","2021-10-26 15:35:50","@nzz0502 Udh masuk, liat kknya sdh sekolah tk dia mau ikutan, jd ku masukin PAUD aja. Offline bund 🤣","1"
"nyakawr","2021-10-26 15:24:25","besok sekolah offline, sama dl tugas video masak","1"
"gochujangsss","2021-10-26 15:20:14","@ttoragaleyo Efek mengantuk, ayo kawan jangan tidur malam malam, gutnait aku mau tidur BESOK SEKOLAH OFFLINE GUE VI😭","1"
"niyeelll","2021-10-26 15:13:17","@jnandaradhy @chogiwabois @jeffreyyse kak kok kamu jadi kaya abang tapi kalo kamu online abang offline dah kaya sekolah ye","0"
"itsnottaura","2021-10-26 15:10:48","gek wae wis iso beradaptasi sekolah online malah wis mulai offline hadehh","-1"
"selirrpejabat","2021-10-26 15:10:28","gue sekolah offline, pdhl di kelas rame bgt. biasanya gue nimbrung ngobrol sama yg lain. tapi ini engga, kenapa ya diem mlu ga seheboh dulu pas kls 10","0"
"peachyyluvinaja","2021-10-26 15:01:14","tugas w di ttp aja banyak walau udh sekolah offline heran deh","-1"
"bxfvj","2021-10-26 14:51:49","MALES BGT BSK SEKOLAH OFFLINE","-1"
"whtyoufeel","2021-10-26 14:48:15","@convomf Bener sekaliii udah semangat kembali menjalani sekolah offline ternyata capeknya malah nambah 2x lipat sedih bangett apa mungkin emang belom terbiasa aja kali yaa wkwk tapi offline bikin lebih paham materi sih.","1"
"steerzaaf2","2021-10-26 14:34:43","hadehh ternyata lebih enakan sekolah online ya😭 kl offline tu ky apa ya, males bgt kudu mandi pagi, sarapan, terus juga gabisa sambil tiduran HAHAHA 🙏🏻","-1"
"skrimwerescream","2021-10-26 14:25:59","Stase anak, obgyn, ipd udah mulai jaga ampe pagi 🥺 yuk bisa yuk corona ilaaangg 🥺 aktifitas kuliah sekolah bisa kembali normal juga 🥺

Hari ini vaksinasi anak sma, percobaan mau kelas offline. Semua siswanya ""iya kak, sekolah online mah bego"" 🥺","1"
"amaruvos","2021-10-26 14:23:42","tbh lebih suka online, gatau kenapa lebih masuk materinya di aku. tapi kalau suasana sekolah lebih suka offline https://t.co/EOJqFinjOo","0"
"twelvfour","2021-10-26 14:17:06","semenjak sekolah offline tidur awal terus bukan emg harus bangun pagi sih tapi lebih ke capee bgtt","-1"
"bucin_ty","2021-10-26 14:16:25","@convomf Gausah lah buat apa aku juga kok ga buat menurut aku ga guna juga soalnya setahun doang kan offline nya dan aku emg ga deket deket amat and lumayan di aku 300 an sayang duid anjirun biaya sekolah aja dah mahal gue gamau nambahin beban:"")","0"
"doyoungta","2021-10-26 14:12:05","GUE TAKUT KALO BSK DIA PAS MASUK SEKOLAH MATANYA BENGKAK ANJIRR MANA SEKOLAH OFFLINE LAGI, MASA ENTAR DITANYA SAMA GURU KAMU KENAPA ITU MATANYA? HABIS NANGISIN COWOK AU BU? KAN... BINGGUNG NANTI GURUNYA:(","-1"
"park_chelsean","2021-10-26 13:58:25","pliss ga bisa tidur besok pertama kali sekolah offline setelah beberapa abad😭🙏🏻","0"
"edferniee","2021-10-26 13:57:08","@cllydefvl capek ya ternyata sekolah offline 😔","-1"
"blackoolyxx","2021-10-26 13:55:04","YaAllah besok ulangan bio OFFLINE, online sie tapi kita tu offline ngerti gx. Kita ke sekolah ulangan tapi tetep pake hp. TERUS NANTI NASIB KU GIMANEEE. Manalagi belajar trus si bolsi NGIRIM VIDEO JEONGWOO JIHOON KAN SAYA JADI TIDAK JADI BELAJARR","-1"
"hobi_ngebadut","2021-10-26 13:32:03","@bertanyarl 🙏😭 enak asli, dulu sering beli, jualan nya keliling gitu, sekarang udah jarang lewat, kadang dulu kalo sekolah offline musti pas pulang beli itu 🙏😭","1"
"ailupyusomuch","2021-10-26 13:30:45","Wah sekolah offline tdk cocok untuk manusia pelupa seperti saya. Untungnya td temen ngingetin klo ada pr. Klo g mampoes aku.","-1"
"jjungeunbie","2021-10-26 13:25:45","@sunewrld @deobifess Jgn dong kita kan blm sekolah offline, nnti km gapunya temen deobi lgi dikelas gmn","0"
"outofhere23","2021-10-26 13:24:57","jd inget pas masih offline dulu sering pake tab sekolah trus gabisa dipake buat buka yutub dan hal2 rekreasi lainnya 👍😭 https://t.co/f8momSslmh","0"
"stvdyca","2021-10-26 13:22:16","☆ study progress
🗓️ Tue, Oct 26

hai hai! sorry ya aku jadi jarang banget up progress karena udh mulai offline dan jadwal makin padet ga sempet buka twitter. tadi di sekolah ulhar bio sksk. btw chemistry and math for my tuesday ☀️💗 rest well guys! https://t.co/1gKMnYLspm","-1"
"sikumannakal","2021-10-26 13:13:59","@makmummasjid ""Denger2 gedung kosong itu dulunya sekolah offline ya pak?""
*persiapan basa basi sama bapak2 tahun 2035","0"
"difaarahmania","2021-10-26 13:10:33","dia nyuruh buat baru lagi tadi jam set 8 malem dan disuruh selesai besok padahal besok masuk sekolah offline 😀","0"
"seakycleora","2021-10-26 13:06:31","@deathlyfive lal udah sekolah offline blm?","0"
"jennstudies","2021-10-26 13:05:58","@cuffyins janlup istirahat yin!! aku sekolah nya campur kadang offline/online😵 anw goodnite 💗","0"
"xxrluluu","2021-10-26 13:04:46","Besok sy masuk sekolah (offline)🙂 sy mls sebenernya","-1"
"467naa","2021-10-26 12:53:17","@abbycdeee BTW GAIS TADI KITA SEKOLAH OFFLINE LOH YUHU","1"
"mrkdyz","2021-10-26 12:47:58","nyesel gua masuk sekolah offline, digibahin guru2 di kantor","-1"
"yshirona","2021-10-26 12:30:00","besok sekolah offline lagi ha.. ha.. ha..","1"
"haoxuo","2021-10-26 12:14:48","KENAPA SIH SETIAP GUE KEBAGIAN SEKOLAH OFFLINE PASTI ULANGAN 👎🏻👎🏻👎🏻👎🏻 https://t.co/1Aq0eUMJzP","-1"
"nasigorengcityx","2021-10-26 12:10:14","@chitaglorya__ HIIII KAK CHITAAAAA GIMANA HARI INI ? kalo aku hari ini capek bangetttt krn sekolah offline huhu","-1"
"1311jpg","2021-10-26 12:08:12","jgn nanya au feeling blue gmn.. gua gatauu pgn lanjutin apaa lgi kena writer’s block!!! samaa lgi cari kejadian pas sekolah offline biar rada nyata gtu au ny😀😀","1"
"wortelstruggle","2021-10-26 12:04:31","haloo, junnie disinii. junnie mau bilang, mulai besok sampai minggu depan, junnie bakal PAS offline di sekolah (tidaaaa😭😭). jadii, kemungkinan junnie bakal off sampai junnie selesai PAS. maaf yaa caratdeul semuaa 😔😔👉👈 oiya, buat yang mau PAS atau lagi PAS, junnie doain -c-","0"
"brthdygirlz","2021-10-26 12:03:51","@crarckers sekolah offline tadi jadi ngerasa cape aja, iyaa ❣️","-1"
"skycynza","2021-10-26 11:53:01","@radenrauf besok ga sekolah offline","1"
"HIR0MACH1","2021-10-26 11:52:51","@56jae kurang tau kalau study tour itu diadakan kapan, soalnya aku sekolah offline cuman pas kelas 7. Kelas 8 nya daring, sampai kelas 9 aku mulai udah ptm :(","1"
"the9001s","2021-10-26 11:45:44","@convomf apa ya, dia nanya, kelas berapa... sekolah offline atau online, sukanya sekolah offline atau online","0"
"kelabangkayang","2021-10-26 11:43:57","offline kenapa capek bgt yaa apa krna gue udah ga sekolah lama ya jadi badan nya makin jompo trus kagok","-1"
"nggonyambat","2021-10-26 11:43:47","@bayusaurus @lunai @schfess Kalo di sa pu daerah sempet online 1 semester saja. Jd dr bulan maret sampe agustus. Terus kita offline lg. Dulu pas online ya cmn dr web sekolah/wa. Dikasih file materi aja. Kadang jg ngerjain soal trs kirim wa. Kita gk pake zoom/gmeet/gcr/dsb.","1"
"itsmecamq","2021-10-26 11:42:53","@skrsbrees IHHB YAUDAH KALAU GITU JANGAN SEKOLAH OFFLINE, NANTI RENA SAKIT! DARING AJA TERUS GPP ASAL RENA NGGAK SAKIT","-1"
"itsmecamq","2021-10-26 11:39:08","@skrsbrees Ren tukaran yuk, aku juga kepingin sekolah online, tapi malah harus sekolah offline 😢","-1"
"2kimcityx","2021-10-26 11:39:04","Demi apapun pengen sekolah offline","1"
"mintsy_","2021-10-26 11:34:39","Sekolah offline sesi siang kali ini kok bikin capek bgt yh, malah sampe pusing sekarang","-1"
"spawstoon","2021-10-26 11:31:02","@992sa_ sekolah online or offline","0"
"lilfoxynana","2021-10-26 11:26:24","alesan utama gw pen sekolah offline biar ga disuruh-suruh, paling benci anak cwo diperlakuin keak raja sedangkan anak cwe like a BABU!","1"
"sweetyhamm","2021-10-26 11:23:23","@reveuseist UDAH MULAI SEKOLAH OFFLINE JUGA JADI AKKSJKSJSKS SIBUK BGTT😩😩😩","-1"
"ikvyya","2021-10-26 11:20:09","@daprivlifee oalah sekolah offline ya?","-1"
"corrasm","2021-10-26 11:15:11","aku kalo sekolah offline bisa loh otaknya jalan","1"
"jnbbyy","2021-10-26 10:58:42","sya makan apa ya dlu pas sekolah offline? kok bisa nulis pake aksara sunda. https://t.co/44TozJeg2U","1"
"myloveliest","2021-10-26 10:54:40","tbh sekolah offline seru aja, wlupun agk canggung krna udh lama ga ktmu tp seengganya gue kluar rumah gt loh???😥","1"
"bluearesea","2021-10-26 10:53:11","gamau sekolah offline:( bisa gasi sekolah nya bisa milih gitu? kayak kalo mau off ya off kalo mau on ya on","-1"
"Voussmevooyez","2021-10-26 10:52:45","AAAAA LARI BESOK SEKOLAH OFFLINE","-1"
"Voussmevooyez","2021-10-26 10:52:25","Besok sekolah offline?!","1"
"lvvy_matcha","2021-10-26 10:50:37","Kadang pengen aj gitu sekolah offline biar ga di rumah trs kesepian tapi juga mikir kalo offline pasti ongkos ojeknya pula👍","0"
"MashiMoon_","2021-10-26 10:44:40","@thedyzebua97 @kaptenblink Buat yah buka yt,tiktok,ig,twitter,nonton film,main game 🤣 
Kalo sekolah udah offline jadi gk banyak pake kouta🙂","1"
"duckownie","2021-10-26 10:34:47","kalo sekolah offline pilih jamkos https://t.co/ZssyTCRrGQ","1"
"jaeyungg_","2021-10-26 10:31:10","@bertanyarl Tahun 2019 adalah tahun yg aku rindukan dan juga aku lupakan, dimana mungkin di tahun itu adalah terakhir nya masuk sekolah offline juga seru seruan dan di tahun itu juga papa dan bibi ku meninggal karena penyakit jantung","1"
"keyvstyles","2021-10-26 10:27:30","@hourlykayy jadi mau sekolah offline","0"
"Firsyhaloushia","2021-10-26 10:17:31","Selalu bawa, kecuali pas sekolah offline sekarang soalnya dilarang bawa bekal https://t.co/ULPeWejrAd","1"
"0044HRJ","2021-10-26 10:16:37","pernah. ngomong ke mama pas awal awal sekolah offline, jd stiap pulang sklh mama selalu nanya ""td sama siapa di sklh? udh ad temen?"" dan aku slalu jawab ""ga ada. ga punya temen hehe"". mama nyuruh pindah ke sesi pagi, tp aku bilangny ""entaran dulu, liat 1 minggu lg"" gituu. https://t.co/6XJLupinwT","-1"
"beemarkkeu","2021-10-26 10:16:23","@convomf asik gak sekarang sekolah offline nya?","1"
"hilucassss","2021-10-26 10:11:41","@convomf lebih suka sekolah offline apa online?","0"
"sweetasahii","2021-10-26 10:11:36","banget. pas mikirin sekolah offline deg'an mulu https://t.co/6h4vab10IN","-1"
"milkt3a__","2021-10-26 10:03:29","@Fajri_UN1TY lagi istirahat nih ji, cape abis sekolah offline:(","-1"
"J_dlsktm","2021-10-26 09:57:35","bentar lagi sekolah offline
musowoooowoowowwo 😭","-1"
"flackozhs","2021-10-26 09:48:52","omg rabu depan gue sekolah offline","1"
"jeffcrepuscule","2021-10-26 09:42:37","Akhirnya besok gua bisa sekolah offline weh private class pula🥲🥲🥲 https://t.co/bq3WwGN95G","1"
"rapIoey","2021-10-26 09:36:44","lah anjrit mampus.. besok sekolah offline tapi ini kaos kaki putih dah kaga tau ilang kemana 😭😭😭😭😭","-1"
"ciyaely","2021-10-26 09:15:55","biasanya 1 kali, tapi ini sekolah offline, jadi 2 kali https://t.co/kGu9H2Yl6a","0"
"chsimheree","2021-10-26 09:14:10","@convomf sekolah udh offline blm?","0"
"imtotallyyourss","2021-10-26 09:07:55","anjir ak gah sekolah offline ssk ramangkat ah","-1"
"muhammadfaiqqq","2021-10-26 09:03:50","ajg lah, sekolah offline gurunya makin ngelunjak kalo kasih tugas","-1"
"FOODFESS2","2021-10-26 08:56:56","Fess seneng banget sekolah udah pada offline lagi, jadi bisa jajan di sd https://t.co/bAelTB56ue","1"
"skycynza","2021-10-26 08:51:01","gamau sekolah offline","0"
"schfess","2021-10-26 08:49:50","SchApp! Aku siswa kelas 12 dan sekarang udah sekolah offline, setiap pulang sekolah pasti ngantuk pengen bgt tidur, padahal harusnya belajar untuk UTBK. Kasih tips dong cara kalian bisa melawan rasa kantuk, trus fokus belajar!! (Fyi, aku orangnya ga bisa belajar malem (ga fokus))","1"
"jeonlvo","2021-10-26 08:25:22","habis dari sekolah bersih bersih lagi kelas, dan mungkin setelah ini per awalan bulan November udah offline Dann bakalll sibukkkk","-1"
"neoxnora","2021-10-26 08:15:13","sekolah offline terus😀","0"
"hanwebzite","2021-10-26 08:09:16","@mataharibulet Klau lgi sekolah online/offline sih jam 6 lewat gitu trus klau weekend mah jam 12 an 😢😢","0"
"ardfrka","2021-10-26 08:07:11","@moonareas lebih suka sekolah offline apa online?","1"
"aimyourminess","2021-10-26 07:55:36","Anak twitter yang baru masuk sekolah offline pas mau minjem penghapus ke temennya

""Mjb nder,kamu pnya penghapus ga?""
""Gaada""
*temen satunya nyaut
""Mmf ikutan nimbrung nih aku ada""","1"
"schfess","2021-10-26 07:47:16","Sch! Sekolah kalian udah seleksi ksn belum? Yang mau ikut seleksi geografi, kalian belajar nya dari mana ya.. apakah bimbel offline??","0"
"Jdwin1485","2021-10-26 07:30:54","@goowdboy Mau ini boleh ga si😭, buat sekolah offline https://t.co/NBtH0fsZ6W","0"
"schfess","2021-10-26 07:28:32","sch! gimana nih yg uda sekolah offline coba review dong?? 🫂 
kalo sender : masih belum/jarang interaksi sama temen, pada diem semua :( karena gda waktu istirahat juga, buat mapel jadi lebih paham dan gurunya okee si seru👍🏻 walaupun pulang pulang kerasa capekk 😣","1"
"shewantsmark","2021-10-26 07:26:06","tp serius loh bingung bgt sm temen kls yg seneng daring😃 lu bayangin gasi kalo offline tuh cuman sekolah 3 jam, guru jrg kasih pr, materi mudah dimengerti, lah daring? tugas, ngejar deadline, materi kaga ngerti, encok, begadang, hadeh","1"
"vantengguk","2021-10-26 07:21:54","sekolah offline yang awal nya seru, makin lama makin banyak tugas 🥲🥲","-1"
"peachybootae","2021-10-26 07:18:47","PLS SEKOLAH OFFLINE MAY PERGI DUDNHZJS AEFER MY LOVE","1"
"mievasellyn","2021-10-26 07:11:33","ck besok sekolah offline","1"
"convomf","2021-10-26 07:10:52","💙 mending masuk ptmt atau engga? sikon saat ini aku udh kurang lebih memahami materi sekolah jadi sebenernya ga perlu sekolah offline lagi, udh berani nanya pertanyaan juga jd udh ga sungkan2 lg","-1"
"pxrnama","2021-10-26 07:05:12","@mogcuu emang sepi moguuuu udh pada balik offline, sekolah kerja jg","0"
"gunnapstn","2021-10-26 06:57:44","kalian dh pada sekolah offline?","0"
"nanda_z23","2021-10-26 06:57:44","@jaetheriel Iyaa, padahal semangatin aja udah cukup orang kan beda"" ya kesibukannya apalagi ini anak sekolah udah offline ada juga yg udah uts","1"
"lattemcchiato","2021-10-26 06:49:49","➷ 26-10-2021
JAY TUSPI SCYLLA GEMES BANGET BANGET BANGET 😭 Pulang sekolah offline paket trade dateng rasanya tuh ksjshshjsgsgs 😭💗💕💖 https://t.co/UlifkBSyco","1"
"sevimaulidah1","2021-10-26 06:45:07","@tigerlilyJey Foto terakhir yang bikin orang stress 🥲🙏🏻 tadi abis sekolah offline 😇 bissmilah ya allah 😰🙏🏻 sebelumnya makasih kak udh bikin GA ini sukses selalu 💜 https://t.co/aWHwLk9Jl5","-1"
"indxlDKS","2021-10-26 06:45:04","Sekilas info...... MULAI SENIN DEPAN W SEKOLAH OFFLINE 😭😭😭😭","1"
"nctbujank","2021-10-26 06:41:41","Aku baru selesai daring, abis siapin bwt besok sekolah offline juga","1"
"Khayra14994193","2021-10-26 06:36:23","@26Z1AX @convomf iya masi ada bau bau online banyak tugas yg makin aneh” mana nanti klau bener udah full offline sekolah ampe soreeeee😭","-1"
"ridonesoedaryat","2021-10-26 06:32:42","@onnowpurbo Internet offline sebagai solusi Pembelajaran jarak jauh di sekolah

https://t.co/Lx2m9l6653","1"
"candypiece2","2021-10-26 06:28:10","@bertanyarl Akhirnya masuk sma, punya temen baru, punya kegiatan baru, kebiasaan baru. AH JADI KANGEN SEKOLAH OFFLINE NORMAL KAN GUA ELAH","1"
"convomfs","2021-10-26 06:26:32","💭 pengen cepet cepet sekolah offline, jujur sekolah jadi satu satunya tempat kabur kalo lagi suntuk dirumah..","1"
"ARXRENE97","2021-10-26 06:16:19","sekolah offline membuat q capek tapi klw gk offline jadi tambah bego tiada tara😩","-1"
"ARXRENE97","2021-10-26 06:14:53","@dongsichceng sekolah offline membuatku capek trs tp kalo gak offline jadi tmbh bego😩","-1"
"ica_fs","2021-10-26 06:09:44","sekolah offline tuh seseru itu walaupun cape","1"
"skrupsius","2021-10-26 06:06:36","yg vaksin mahasiswa, yang sekolah offline anak sd, komedi bener","-1"
"geovlogi","2021-10-26 06:06:31","MAU SEKOLAH OFFLINE PLISSSS HUEE","1"
"Hajaekyuu","2021-10-26 05:53:01","Semenjak covid gw jd kenal kpop dan gk ad overthinking2an, pling ad dikit sama idol klo jrng update gt2 doang. Dan gw jg pindah sekolah pas covid jd temen2 bru blom ad yg tau muka gw. Tp semenjak gw sekolah offline ad beberapa tmn cowo yg ya gt..","-1"
"byhrsjwwin","2021-10-26 05:49:05","@jnxhwny jujur bener...
terus juga gw kalo sekolah offline no prob ga makan smpe rumah tapi kenapa skolah onlen gw laper mulu sksksk","1"
"taepictv","2021-10-26 05:44:11","bayangin anjir gue dari tadi pagi kebelet berak, mana sekolah offline","-1"
"dellaabirawa_","2021-10-26 05:37:40","saking dekatnya smp dengan rumah, belnya biasa kedengaran apalagi waktu itu masih sekolah offline. sekarang, belnya kedengaran lagi. senangnyaa everything’s going normal","1"
"rewnsjuniee","2021-10-26 05:22:07","@doyoungsvr haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔","-1"
"rewnsjuniee","2021-10-26 05:20:34","@sa_rhmsoo haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔","-1"
"rewnsjuniee","2021-10-26 05:20:20","@yochienori haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔","-1"
"rewnsjuniee","2021-10-26 05:20:12","@yraluvs haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔","-1"
"rewnsjuniee","2021-10-26 05:20:03","@jaexuchy haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔","-1"
"rewnsjuniee","2021-10-26 05:19:45","@araacupcakes haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔","-1"
"renxnoir","2021-10-26 05:15:04","kalian kalo sekolah offline bawa uang jajan brapa?","0"
"Donghyuckq","2021-10-26 05:09:20","@yearmiese Masih sekolah offline?","0"
"hyunyeongie","2021-10-26 04:48:55","@ShopeeID pengen bgt buat beli laptop min, udah dari lama tapi belum kebeli
Butuh juga krn adekku akhirnya mulai sekolah offline, butuh laptop krn jurusannya

bismillah🙏","1"
"jualannyabibi","2021-10-26 04:46:29","hii, kalian lagi sekolah offline apa online","0"
