tweet_bersih,label_sentimen
please tidur besok kali sekolah offline abad,-1
capek sekolah offline,-1
allah besok ulang bio offline daring offline erti sekolah ulang pakai handphone nasib ku gimaneee ajar bolsi kirim video jeongwoo jihoon belajarr,-1
enak asli beli jual keliling jarang kadang sekolah offline pas pulang beli,1
sekolah offline cocok manusia lupa untung teman kerja rumah mampoes,-1
sekolah offline kamu teman deobi kelas,0
pas offline pakai tab sekolah pakai buka youtube rekreasi,0
study progress tua oct hai hai maaf jarang banget up progress offline jadwal padat buka twitter sekolah ulhar bio sksk by the way chemistry and math for my tuesday rest well teman,-1
dengar gedung kosong dulunya sekolah offline siap basa basi,0
suruh jam set malam suruh selesai besok besok masuk sekolah offline,0
lal sekolah offline,0
janlup istirahat yin sekolah campur kadang offlineonline anw goodnite,0
besok masuk sekolah offline malas,-1
by the way teman teman sekolah offline iya,1
sesal saya masuk sekolah offline digibahin guru kantor,-1
besok sekolah offline,-1
saya bagi sekolah offline ulang,-1
hiiii kak chitaaaaa capek banget sekolah offline huhu,-1
au feeling blue saya gatauu lanjut kena writers blok cari jadi pas sekolah offline nyata au,1
haloo junnie junnie besok minggu junnie pas offline sekolah tidaaaa junnie off junnie selesai pas maaf caratdeul semuaa oh iya pas pas junnie doa c,0
sekolah offline capek iya,-1
besok sekolah offline,0
study tour ada sekolah offline pas kelas kelas daring kelas ptm,1
kelas sekolah offline daring suka sekolah offline daring,0
offline capek banget saya sekolah badan jompo kagok,-1
sa daerah daring semester maret agustus offline pas daring web sekolahwa kasih file materi kadang kirim wa pakai zoomgmeetgcrdsb,1
ihhb sekolah offline rena sakit daring rena sakit,-1
ren tukar yuk sekolah daring sekolah offline,-1
apa sekolah offline,1
sekolah offline sesi siang kali capek banget pusing,-1
sekolah daring orang offline,0
alas utama saya sekolah offline disuruhsuruh benci anak cowok laku kayak raja anak cewek like a babu,1
sekolah offline akksjksjsks sibuk banget,-1
walah sekolah offline,0
sekolah offline otak jalan,1
makan pas sekolah offline tulis pakai aksara sunda,1
jujur sekolah offline seru wlupun canggung ketemu seengganya saya rumah,1
sekolah offline sekolah pilih kayak off off on on,-1
aaaaa lari besok sekolah offline,-1
besok sekolah offline,0
kadang sekolah offline rumah sepi pikir offline ongkos ojek,0
buka yttiktokigtwitternonton filmmain game sekolah offline pakai kouta,1
sekolah offline pilih jam kosong,1
rindu lupa mana masuk sekolah offline seru seru papa bibi ku tinggal sakit jantung,1
sekolah offline,1
bawa kecuali pas sekolah offline larang bawa bekal,1
bicara mama pas sekolah offline pulang sekolah mama sekolah teman teman mama suruh pindah sesi pagi bilangny entar lihat minggu,-1
asyik sekolah offline,0
suka sekolah offline daring,0
banget pas pikir sekolah offline degan melulu,-1
unty istirahat ji capek habis sekolah offline,-1
sebentar sekolah offline musowoooowoowowwo,-1
oh my god rabu saya sekolah offline,1
besok saya sekolah offline weh private class,1
anjing mampus besok sekolah offline kaos kaki putih hilang mana,-1
kali sekolah offline kali,0
sekolah offline,0
anjing gah sekolah offline sesak ramangkat ah,-1
anjing sekolah offline guru ngelunjak kasih tugas,-1
fess senang banget sekolah offline jajan sekolah dasar,1
sekolah offline,-1
schapp siswa kelas sekolah offline pulang sekolah antuk banget tidur ajar utbk kasih tips lawan kantuk fokus ajar for your information orang ajar malam fokus,1
habis sekolah bersih bersih kelas awal november offline bakalll sibukkkk,-1
sekolah offline,-1
sekolah onlineoffline jam pekan jam an,0
suka sekolah offline daring,0
anak twitter masuk sekolah offline pas pinjam hapus teman mjb nderkamu hapus teman satu nyaut mmf ikut nimbrung,1
sch sekolah seleksi seleksi geografi ajar bimbel offline,1
sekolah offline,1
sch sekolah offline coba review sender belumjarang interaksi teman diam istirahat mata ajar paham guru oke seru pulang pulang rasa capekk,1
serius bingung banget teman kelas senang daring bayang offline sekolah jam guru jarang kasih kerja rumah materi mudah erti daring tugas kejar deadline materi erti encok begadang aduh,1
sekolah offline seru tugas,-1
tolong sekolah offline pergi dudnhzjs aefer my love,1
ck besok sekolah offline,1
lebih baik masuk ptmt situasi kondisi paham materi sekolah sekolah offline berani sungkan,-1
sepi moguuuu offline sekolah kerja,0
sekolah offline,0
iya semangatin orang beda sibuk anak sekolah offline uji semester,1
jay tuspi scylla gemas banget banget banget pulang sekolah offline paket trade ksjshshjsgsgs,1
foto orang stres habis sekolah offline bissmilah allah terima kasih kak sukses,-1
kilas informasi senin saya sekolah offline,1
selesai daring habis siap besok sekolah offline,1
iya bau bau daring tugas aneh full offline sekolah soreeeee,-1
internet offline solusi ajar jarak sekolah,1
masuk teman giat biasa ah kangen sekolah offline normal saya alah,1
cepat cepat sekolah offline jujur sekolah satu kabur suntuk rumah,1
sekolah offline capek offline bego tiada tara,0
sekolah offline buat capek offline bego,0
sekolah offline seru capek,1
vaksin mahasiswa sekolah offline anak sekolah dasar komedi,-1
sekolah offline plissss huee,1
semenjak covid saya kenal korea pop overthinkingan idol jarang baru doang saya pindah sekolah pas covid teman muka saya semenjak saya sekolah offline teman cowok,-1
jujur saya sekolah offline no prob makan rumah sekolah daring saya lapar melulu sksksk,1
bayang anjing saya pagi kebelet berak sekolah offline,0
saking dekat rumah bel dengar sekolah offline bel dengar senangnyaa pergi normal,1
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1
rhmsoo haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1
sekolah offline bawa uang jajan,0
sekolah offline,1
banget beli laptop min kebel butuh adik sekolah offline butuh laptop jurus bismillah,1
hai sekolah offline daring,0
bahagia me ngantarin gempur sekolah offline,1
accord aktif unfollow jarang on sekolah offline,1
zoom class mati kamera masuk sekolah offline langsung bentuk,-1
ayo mutualan priv kakak bolehh aktif aktif xnxknsks semenjak sekolah offline jarang buka akun huee,0
sp udahhh sekolah offline cung,1
capek tugas sekolah daring suruh offline takut ketemu orang,0
bolos daring tahu ptm sekolah offline to,1
sekolah offline,1
sekolah offline kamu,1
moga sekolah offline kayak capek banget,1
unty sekolah offline kak,1
kunci buku tematik tema kelas sekolah dasar wajib hak rumah halaman sekolah sekolah offline proses ajar rumah,1
jujur anjing saya sangka lancar bicara kelas sekolah offline berani,1
unty sekolah offline,1
hai tabi pulangg sekolah offline offline daring,0
lulujkt sr sekolah sekolah offline,-1
mjb ajar tatap muka sekolah offline,1
halo teman selamat siangpada sekolah offline daring,0
daring sekolah offline,1
svt konser daring offline kaget banget pulang sekolah,0
sekolah offline biasanta pulang jam berapaa,1
kali sayang sekolah offline sukur kangen daring rumah lulus,1
saya sekolah offline,1
unty nugas niiak sekolah offline,1
unty sekolah offline ji antuk bangun tidur,-1
gasabar rasa momen pulang sekolah pas sekolah offline,1
suka sekolah offline capek sekolah daring,-1
gilir sekolah offline dibolehin sekolah hadu,1
aaaa sekolah offline back normal,-1
sekolah offlineonline,0
seru xixi sekolah offline daring lupa makan hv a nice day,1
pagi sekolah offline semangat sch,1
offline sekolahkuliahnya,1
kangen sekolah offline wkwk,1
kakak mi luluss sekolah offline,0
aaa hpbd sekolah offline,1
besok sekolah offline malam saya sibuk tugas,-1
sekolah offline sebal,-1
izin rest deh ku aktif sekolah offline daring penuh tugas,0
unty hai aji sekolah offline,1
streamingnya lihat mana luang sekolah offline kamu kuliah weekday senggang yuk streaming,0
pagi sekolah offline bestie,1
sekolah offline anjing,-1
semangat na sekolah offline seru seru saya uji offline,1
unty pagi aji absen sekolah offline,1
iya offline school is keren but not uji offline sekolah,1
hai makjii sekolah offline hjhi,1
sticker keluar jumat orang luang besok pekan favorite keluar senin sekolah kuliah kerja offline make sense secepet sticker,0
sekolah offline daring,0
saya sekolah offline sender kalimat puas no no erti korea uji indonesia sekolah offline rajin streaming kayak,-1
senin deoann sekolah offline yeyyy,1
sekolah offline tugas banget,-1
adik sekolah offline,1
kerja offline suka sekolah tolong wwkwk,1
sekolah offline,1
rilis senin masa orang kerja sekolah kampus offline,1
sekolah offline prnya anjing,-1
semangat sekolah offline melll mata ajar free,1
saya sekolah offline anjing iya saya teriak kayak orang gila kelas dasar dejunnn,-1
sini jam sekolah offline,1
aaaa saya sekolah offline ajar mtkkk guru galak,-1
coba berangkat deh nder latih sekolah offline berangkat,1
sekolah pilih situ take responsibilities siswa offline sekolah,0
sekolah offlineonline,0
schapp sekolah offline semangat trivia katak padang pasir juli tidur sisa,1
hai sekolah sekolah offline daring,0
pagi moots sekolah offline semangat,1
tidur nyenyak oktober sekolah daring minggu offline okk too have a nice day too,1
sekolah offlineonline me offline,0
hai sekolah offline offlineonline,0
neozen maaf singgung streaming papa banget paksa drikita sekolahkerja offline streaming sempat cont,-1
sekolah offline daring,0
pagi moots sekolah daring offline,0
kaum orang suka sekolah offline,-1
rasa capai sekolah offline,-1
pas jaman sekolah offline kalah ganti pakai lagu susah kayak bintang level hard traktir seblak lagu aju nice woiii aaaa hdusishdoshwiwjwbs kalah,1
sekolah offline,0
mlyt offline sekolah,1
suka sekolahkerja onlineoffline,1
adekadek saya sekolah uang jajan saya rumah doang uang jajan huaaa kuliah offline,1
sekolah offline ajar,1
effort banget sekolah offline ajar jam kosong,1
maksimal ajar bawa bekal makan sekolah jam bel masuk bingung pagi makan loyo iya oh iya offline doang sisa rumah ajar maksimal rumah kadang,-1
saya tim kontra offline semenjak saya tinggal mama saya kerja antar jemput saya sekolah ongkos sekolah ke ke pulang ke uang jajan saya ke doang bingung uang jajan,-1
iya pas chorusnya easy listening tagih ajak streaming teman non kpopers lagu enak rilis weekday sekolah offline luang streaming,0
yeay bagus sekolah offline by the way have a great day kak tii semangat,1
sch tolak orang kelas contek tugas pas sekolah offline aduh nantikn tahu,0
moga sekolah offline saya lancar,1
sekolah offline,1
sekolah offline,1
amethyst imel sekolah offline kak astaga kira imel,-1
ingin saya sekolah offline,-1
allah bosan sekolah offline,-1
sekolah offline,-1
pagi lang sibuk sekolah kuliah daring offline,0
pagi sibuk kuliah sekolah offline daring,0
sekolah offline,1
sekolah offline is sucks,-1
adik masuk sekolah offline,1
antuk banget sekolah offline pagi malam selese nugas jam,-1
sekolah offline enak teman,1
saya survive sekolah offline minggu sore awokawok kayak minggu kali capek banget,-1
sekolah offline jadwal daring,0
sekolah offline capek banget,-1
ada sekolah offline,0
sekolah offline,1
sekolah offline,1
tanyarl kos yaynay sekolah offline,0
asheljkt udahhmau sekolah offline kakak wkwkhave a nice day,1
sekolah saya kena keren offline lumayan siksa anjing,-1
sekolah offline,0
sekolah offline gaenk sesi adil daring soalny takut materine ulang ganti sesi materi,-1
offline sekolah ku acara daring,0
walah sekolah offline semangat,1
sekolah offline,1
sch struggle ulang pakai kertas lembar pas sekolah offline,-1
aduh sekolah offline,-1
pagi ijaaa semangat sekolah offline daring,0
kadang habis subuh tidur papah kerja jam an pas sekolah offline ydh deh jam bangun,-1
saya mandi jam sgitu sekolah offline dingin njrr,0
pagi semuaa have a nice day semangat sekolah offline,1
aduh sekolah offline,-1
sekolah offline jual rotidonat pagi teman jual laku beli sarap,0
morninggg sekolah offline,1
eh nderr sekolah offline doang,0
ingin sekolah offline v,1
saya semangat sekolah offline,1
wih kecee sekolah daring offline,0
enak offline daring capai offline rasa banget capek fisik pikir kayak bolakbalik pagipagi sekolah rasa banget uras tenaga,-1
lemas banget suasana hati ngapangapain sekolah offline pagi,-1
offline class suka aneh ngebet banget sekolah offline,-1
sch no salty senang sekolah offline senang banget sekolah kasih tugas dijelasin materi dalam materi materi baca,-1
langit turun meteor sekolah sekolah offline,-1
progress today habis sekolah offline mat minat mat wajib sekolah daring jam siang tobk gratis salah bimbel sekolah sambung les ajar uh fisika besok kinda tired but oke,0
malas besok sekolah offline,-1
besok sekolah offline saya antuk help pagi sekolah,0
beda berat siswa ajar dewe segi tugas saya lihat lihat beda saya sekolah offline adik saya deklarasi saya masuk sekolah sekolah,-1
sila hujat benar saya i mean saya sekolah pas offline tekan,-1
dibebanin kerja rumah apaapa kerja rumah kerja rumah kerja rumah deadlinenya minggu kayak kerja rumah offline hari dlnya mata ajar kerja rumah tani adik sekolah offline rasa capek anak umur ngerasanya capek banget,-1
hem ngejelasinnya sekolah kayak offline latih latih kerjain pas mata ajar pulang bawa kerja rumah mata ajar kerja rumah sfh tugas jadic,0
beeeeesok saya sekolah offline for the first time sekian aowkwkw,1
saya ngeri praktikum kayak efek daring saya doang semangat sekolah offline,-1
sksd my gapapaa lumayan teman obrol kelas sekolah offline,1
sekolah offline,0
iya ambil shift malam selagi besok sekolah offline ehehheeh,1
semenjak sekolah offline jarang buka studytwt,-1
sekolah offline,1
relate saya saya erti ajar guru offline sekolah mah teman yodeh ajar masuk otak daring mah saya bangun siang antuk melulu,1
ah tidur anjing besok ku bangun pagi sekolah offline lgie smsksksdmcndj heuhhh,-1
kak nath kangen hueeaku sekolah offlinedari jam jarang pegang handphone gitupadahal kangen jbjb tt kak nath kabar,0
saya besok sekolah offlinetp malas tidur anjing,-1
jam takut besok lihat sekolah offline,0
bioskop buka sekolah offline gym buka shake shape buka butuh olahraga banget,1
lawak banget sekolah saya ulang sekolah ada offline maulid nabi ada daring cih ulang agama,0
anyway bar tips cepat antuk besok saya sekolah offline,-1
besok sekolah offline antuk malas tidur,-1
saya sekolah lucu banget najis kp offline wajib ptmt jalan sahabat ajar jalan gilir kena tegur langsung ketar tir awikwok,-1
saya suka pas sekolah offline tudari jam murid duduk doang bawa minummakan istirahat sumpah pegal kursi kayu,-1
besok sekolah offline,1
moots cepat antuk tidur besok sekolah offline huhu,-1
sekolah offline istirahat huhu hype enha bangtan susah dbjsjsmaka i miss too,-1
pretty good capek sekolah offline but still fun anw terima kasih uuu nay begadang antuk buru tidur okaayy,1
teruuussss anjing jeki taiiiiii ksel ah teman kelas gajelasss uler banget ih lawak banget ngaduin gerak cepat guru wkwk misuh misuh besok sekolah offline menang,-1
wedeh besok sekolah offline,1
besok sekolah daring offline,0
bangun pagi pagi senin sekolah offline,1
mengcapek besok sekolah offline bangun pagi begadang,-1
by the way sekolah daring offline,0
delu besok sekolah offline gnite sleep well moots,1
tidurr besok sekolah offline,1
nder besok offline enak yuk sekolah ajar hak semangat,1
sekolah offline matematika ekonomi rumah,1
saya pikir pikir sekolah daring nyaman banget offline saya kayak malas banget,-1
yeeess sekolah offline kak summy senang banget banget tunggu ketemu tt im even happier now to hear that kak summy should always be bahagia lt,1
suka sekolah offline daring tolong tugas saya offline daring banyak,0
sekolah offline go,1
besok sekolah offline yeayyy,1
for your information saya sekolah offline tugas kumpul google classroom,1
capek banget tugas saya tumpuk minggi sekolah offline tumpuk kadang guru pikir anak murid mata ajar iya kejar materi capek banget begadang gara gara tugas,-1
sekolah kuliah offline ngurangin jajan kecuali kemarin covid anggur lampias beli merch pc,0
jalan mal bioskop bandara wisata buka anak sekolah offline dagang senyum pasien covidpun hilang rumah sakit moga tanda arah baik taat prokes gelombang tiga,1
maaf moots jarang jbjb overthinking semenjak sekolah offline,-1
srl iya sekolah offline tugas tumpuk,-1
weyyy jurus sekolah offline,1
koentjoro baik bangsa saudara laki anakanak sekolah offline lihat yoyakarta kemarin macet penuh mobil kota khawatir,1
sekolah offline rasa capai seru,1
senin my first sekolah offline after sekolah,1
i mean sekolah offline sekolah senin jumat,1
sekolah pakai kerudung rasa sekolah daring sekolah offline,0
besok sekolah offline,1
apakh menang besok vaksin sekolah offline ajar kimia visual arts ajar,1
sekolah offline spill uang saku,1
saya fine fine offline ekstrakulikuler off in anjing saya fokus mata ajar kayak hambat moga ekstra kulikuler hentiin saya lulus sekolah wkwk,-1
catat sekolah daring oke offline kayak nyatet saya nyatet susah tinggal nyalin santai,0
saya sekolah offline saya pilih dua,1
iya sekolah rumah guru saya kota saya guru rumah kayak sekolah offline saya kota materi and latih kirim email deh,1
kak jajan sunscreen sekolah offline,1
first day sistem gilir kumpul ajar b budak kumpul a sekolah pesan minggu lepas guru ulang from az ajar kat a last week pdpr offline module kesan terang guru,-1
jahat banget ngerencanain libur saya minggu full sekolah offline,0
saya kelas tugas ngotak tertawa kuliah mampus saya saya tolil tugas doang by the way saya sekolah offline kuis ulang tugas saya tertawa capek buk wkwk,-1
deh saya sekolah offline kelas masuk srek banget saya sesi,1
asikk sekolah offline,1
sekolah mu daring offline,0
suka sekolah offline daring,0
moga cepat sembuh sekolah offline pikir uji semester suruh video,1
hem eh sekolah offline gakenal teman kelas kamu kenal,0
saya kayak pagi sekolah offline guru ngawas saya kayak degdegan banget,-1
ah sekolah offline daring by the way,0
berangkat gelap pulang gelap sekolah offline wkwk,0
revan sekolah offlineonline adik,0
gakkk sengaja pencet teman besok takut sekolah offline,-1
jujur kangen sekolah offline,1
jahat iyapasti jahat banget lebih baik sekolah rumah ajamales ketemu teman teman kelas sekolah offline duhhhhhhaku coba damai hati deh butuh lamatapi ayo chakendaliin,-1
sekolah offline hari masuk senang,1
sekolah offline pas berangkat hujan pulang motor mogok jalan kaki siang bolongpake pantofel,1
sekolah onlineoffline,0
pensi kook ngurangin koleksi habis sekolah offline takut gadirawat pcku,-1
kayak rest hunter sekolah offline,1
lebih baik offline deh sekolah daring pusing banget saya,1
sekolah offline sesi sesi pagi siang sesi siang sore,1
kelas kelas sekolah offline parkir,1
sekolah daring keluh sekolah offline keluh,0
offline school capek anjing fisik saya capek banget sekolah kelas maksimal,-1
proses pindah on ingin sekolah offline full day canda teman cepat banget lupa sakit,1
saya sekolah offline ajar pedicure and manicure saya sekolah tumpang sih kuku lumayan gratis,1
banget pas sekolah offline jalan pulang tongkrong warung jadi tongkrong anak sekolah khusus sekolah untung pakai motor,1
gapapaa mulung semangat sekolah seru banget offline,1
frio alas terima orang cari teman kayak coba sudut pandang tempat kuliahsekolah kena pembullyan apa rugi senang daring offline,-1
sisi try hard baur pas kuliah coba cari teman minat orang kayak bantu teman susah tugas teman djadiin alas sekolah offline gede susah cari teman imo,0
cepat sekolah offline,1
pas sekolah daring buru kayak sekolah tatap muka offline pas sekolah offline sekolah daring,0
saya pas sekolah offline,1
iya karr mingdep saya sekolah offline saya jakarta libur,0
pas sekolah offline hafal jadwal ajar hafal,1
sekolah offline diksi duit jajan,-1
sch offline offline sekolah pas kelas kelas sender gedung sender cepat kelas,1
sekolah offline capek rasa wkwk sore les moga cepat adaptasi eh betah banget sekolah sore banget jam sore pulang,-1
sekolahkerja via daring enak begadang bangun siang khawatir berangkat kerjasekolah offline gedandapan puyeng,-1
ke uang jajan uang bensin kadang suka tambah ke kakek main rumah pas jaman offline kos perlu sekolah kayak fotokopi kasih,0
wow mantap by the way dom cepat sekolah offline pagi sore,1
sekolah offline pagi sore kah,0
sekolah offline tugas banget lumayan jarang on twit hbu,-1
sekolah offline tugas banget hssj,-1
sayang syukur orang gilir daring ingin offline sekolah offline ingin daring mau konsisten lebih baik sekolah deh,0
sekolah offline,1
sayang syukur orang gilir daring ingin offline sekolah offline ingin daring lebih baik sekolah deh kesal,0
alhamdulillah jalan sekolah offline kasih sangu orang tua jatah ke hari tabung alhamdulillah jalan album sn kumpul ambil beli jilbab kumpul ke,1
jumat sekolah offline,1
i mean like skip kelas masuk sekolah offline,1
sibuk urus sekolah offline tugas banyak,-1
apa sekolah offline,1
sekolah offline susah on im sowrrryyyy,0
halo tai sekolah daring masuk offline by the way lupa makan,0
schapp sekolah offline tugas trivia ombrometer alat ukur curah hujan,0
pas offline kasih ongkos pulang doang kantin sekolah buka wkwk,0
cug bersukurnya manusia kasih libur keluh rasa hidup normal sekolah offline hidup normal sekolah offline eh daring,0
capek sekolah offline,-1
sekolah onlineoffline,0
nder nadiem pusing sekolah daring salah sekolah offline salah beliau pusing,0
sekolah offline jam capek banget,-1
senin buruk sekolah offline terima kasih isi x ilmu tahu alam obrol lihat liat,1
saya mingdep offline terima kasih jam sekolah saya selasela ajar bu izin angkat video call lia,1
banget sekolah offline pas dengar kabar ajar offline senang pas offline daring suasana freak,-1
bleau sekolah offline hbu,0
iya diksih semenjak masuk sekolah offline,1
bismillah gedor makji kumpul duit makji bayar utang mama tunggu rezeki tambah beli novel alat sekolah adik offline,1
kantin sekolah sekolah offline buka,0
todays mail kali todays mail pc hand sanitizer renjun sekolah offline anjaylucu banget pas datengnyasafe packing and another yupi for freebies,0
sekolah offline batas,1
sibuk diri chil sekolah offline unjung sekolah langsungtetep on kadang malam,1
iya ibu sekolah offline,-1
sekolah offline full deh tt,1
kantor sekolah masuk offline pusiang bu moga jadi,-1
syukur daring egois saya syukur banget offline pekan adik saya paham kalian dikitdikit tolong erti sekolah kasih surat ketidaksiapan offline,1
adik masuk sekolah offline,-1
sekolah rumah offline sembunyi rumah,1
cieee sekolah offline,1
sekolah offline daring sesuai suasana hati,0
gemas banget ponakan sekolah offline,1
heboh kerja anak sekolah offline,1
antuk sekolah offline,-1
sekolah offline kh,0
sumpah sekolah offline sanguu,1
offline class kayak sekolah enak anjr obrol saya istirahat ajar pulang obrol teman duduk jauh kayak orang budek obrol dah offline,-1
sekolah offline,0
aii seru sekolah offline,1
enak sekolah offline kemarin pas saya ngambilin raport adik flashback sekolah seru banget woeeeee sempat,1
heran lihat anak sekolah sekolah pakai masker keluyur sekolah offline anggap wkwk covid selesai salah ikut prokes sementang atur longgar,-1
saya sekolah offline daring ahhhhh,-1
sumpah pas sekolah offline tumpuk woi tugas,-1
daring study offline exam hebat banget sekolah saya,0
kasih daring offline siang malam sekolah meninggoy,0
kak sekolah offline,1
reply sekolah offline,1
jujur capek banget sekolah offline,-1
pas sekolah offline kantin te jus ke,1
kelas sekolah offline kah,0
sekolah kah daring offline,0
kayak indonesia normal wacana sekolah sore suka syukur banget suka giat daring alias lulus coy deg degan saya sidang skripsi offline,-1
saya semangat sekolah offline mnyesal,-1
sekolah offline anjing,1
anjing sekolah offline capek banget,-1
kuliahsekolah offline ajar nyala lampur kamar,0
offline kayak buang buang ku pakai tugas sekolah guru masuk materi gkpp guru kasih tugas doang kadang guru jam mata ajar beliau pakai bahas tatib,-1
pagi makjii sekolah offline,1
jujur iya anjing sekolah ku offline daring,0
dak jujur enak njr sekolah offline,-1
beli permen birutdi bingung beli permen biru bubblegum permen biru favku sekolah offline allah kangen jajan sekolah,1
sekolah offline,1
sch sekolah sender harlah offline sayang unggah foto tt,1
diijinin sekolah offline alas kenapaaa,0
benar sekolah sumber sebar sakit yasejak sekolah offline anak kena batpilpdhl ganti dokter gara batpil,-1
saya offline betah capek bolak sekolah capek rumah,1
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,1
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,1
bangun pagi pergi kamar adik sekolah offline pergi rumah tante duo monyet rumah teman pagi bosan ganggu ganggu mama kebun marah,0
beli sekolah offline baterai boros banget,1
kurang sekolah offline sakit pinggang cug capek duduk melulu,-1
gess lepas aktif tepat sekolah offline asramaahayyyy yaaahh translate jametnya,1
askrl spill outer bagus seragam sekolah offline,1
sekolah offline istirahat sebentar banget bekal saya habis bawaa,-1
cimory sekolah offline pulang,0
saya sekolah daring saya offline berani sumpah daring saya kayak takut sosial saya diri ubah erti,1
lulus c word sekolah offline,1
malas gerak banget anjing sekolah offline,-1
adik saya sekolah offline saya rumah kuliah nanti sore asa anggur anjing,0
daring sekolah daring ptm ajar tatap muka offline kamu kuliah kh liar,0
saya banget sekolahmana kelas saya ganti wifi sekolah sad banget buka galeri atauga main game offline,-1
sekolah offline jam gerah banget anjing nyala ac,-1
sekolah offline asa latih militer,-1
sekolah offline bawaanya panic attack bagus daring tenang,-1
iya nder kynya sekolah offline,1
jujur pas saya potong corona daring enak daring enak offline benar rasa banget sekolah kenang deh saya anjing rasa agit,1
