username,tweetcreatedts,tweet,label_sentimen,tweet_cf,tweet_clean,tweet_clean_alay,tweet_token,tweet_stopword,tweet_normalisasi,tweet_stemming,tweet_bersih
fun_girlzzz,2021-10-26 23:21:19,"Yang mau offline sekolah satu orang hebohnya serumah, padahal sekolahnya deket😌",1,yang mau offline sekolah satu orang hebohnya serumah padahal sekolahnya deket,yang mau offline sekolah satu orang hebohnya serumah padahal sekolahnya deket,yang mau offline sekolah satu orang hebohnya serumah padahal sekolahnya dekat,"['yang', 'mau', 'offline', 'sekolah', 'satu', 'orang', 'hebohnya', 'serumah', 'padahal', 'sekolahnya', 'dekat']","['offline', 'sekolah', 'orang', 'hebohnya', 'serumah', 'sekolahnya']","['offline', 'sekolah', 'orang', 'hebohnya', 'serumah', 'sekolahnya']","['offline', 'sekolah', 'orang', 'heboh', 'rumah', 'sekolah']",offline sekolah orang heboh rumah sekolah
kaisccha,2021-10-26 23:13:00,"@bertanyarl ENGGA, gue sekolah offline bawaannya males🙏 tapi waka ngetweet sih jadi i think im ok😬",-1,engga gue sekolah offline bawaannya males tapi waka ngetweet sih jadi i think im ok,engga gue sekolah offline bawaannya males tapi waka ngetweet sih jadi i think im ok,tidak gue sekolah offline bawaannya malas tapi waka mentwit sih jadi i think im oke,"['tidak', 'gue', 'sekolah', 'offline', 'bawaannya', 'malas', 'tapi', 'waka', 'mentwit', 'sih', 'jadi', 'i', 'think', 'im', 'oke']","['gue', 'sekolah', 'offline', 'bawaannya', 'malas', 'waka', 'mentwit', 'i', 'think', 'im', 'oke']","['saya', 'sekolah', 'offline', 'bawaannya', 'malas', 'waka', 'mentwit', 'i', 'think', 'im', 'oke']","['saya', 'sekolah', 'offline', 'bawa', 'malas', 'waka', 'mentwit', 'i', 'think', 'im', 'oke']",saya sekolah offline bawa malas waka mentwit i think im oke
PRKCHNYLOVE,2021-10-26 23:10:34,@aradeakay ga sekolah u?? msi offline??,0,ga sekolah u msi offline,ga sekolah u msi offline,tidak sekolah kamu masih offline,"['tidak', 'sekolah', 'kamu', 'masih', 'offline']","['sekolah', 'offline']","['sekolah', 'offline']","['sekolah', 'offline']",sekolah offline
snikthbinn,2021-10-26 23:08:03,udah tau hari ini sekolah offline tapi tidur jam 3😭,0,udah tau hari ini sekolah offline tapi tidur jam,udah tau hari ini sekolah offline tapi tidur jam,sudah tau hari ini sekolah offline tapi tidur jam,"['sudah', 'tau', 'hari', 'ini', 'sekolah', 'offline', 'tapi', 'tidur', 'jam']","['sekolah', 'offline', 'tidur', 'jam']","['sekolah', 'offline', 'tidur', 'jam']","['sekolah', 'offline', 'tidur', 'jam']",sekolah offline tidur jam
whattodowlife,2021-10-26 23:03:58,adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii https://t.co/5TIqhlG0mg,1,adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii,adek akuu hari ini sekolah offline jadi sarapannyaa udah siap jam seginiii,adik aku hari ini sekolah offline jadi sarapannyaa sudah siap jam seginiii,"['adik', 'aku', 'hari', 'ini', 'sekolah', 'offline', 'jadi', 'sarapannyaa', 'sudah', 'siap', 'jam', 'seginiii']","['adik', 'sekolah', 'offline', 'sarapannyaa', 'jam', 'seginiii']","['adik', 'sekolah', 'offline', 'sarapannyaa', 'jam', 'seginiii']","['adik', 'sekolah', 'offline', 'sarapannyaa', 'jam', 'seginiii']",adik sekolah offline sarapannyaa jam seginiii
lowviesjuyeon,2021-10-26 22:57:08,"pagi moots , cung yg sekarang sekolah offline 🙋🙋",1,pagi moots cung yg sekarang sekolah offline,pagi moots cung yg sekarang sekolah offline,pagi moots cung yang sekarang sekolah offline,"['pagi', 'moots', 'cung', 'yang', 'sekarang', 'sekolah', 'offline']","['pagi', 'moots', 'cung', 'sekolah', 'offline']","['pagi', 'moots', 'cung', 'sekolah', 'offline']","['pagi', 'moots', 'cung', 'sekolah', 'offline']",pagi moots cung sekolah offline
seamericano,2021-10-26 22:56:39,kalian sekolah offline??,0,kalian sekolah offline,kalian sekolah offline,kalian sekolah offline,"['kalian', 'sekolah', 'offline']","['sekolah', 'offline']","['sekolah', 'offline']","['sekolah', 'offline']",sekolah offline
chawtezen,2021-10-26 22:53:29,@nininainin_ sekolah nya daring / offline nin??,0,sekolah nya daring offline nin,sekolah nya daring offline nin,sekolah nya daring offline nin,"['sekolah', 'nya', 'daring', 'offline', 'nin']","['sekolah', 'daring', 'offline', 'nin']","['sekolah', 'daring', 'offline', 'nin']","['sekolah', 'daring', 'offline', 'nin']",sekolah daring offline nin
chawtezen,2021-10-26 22:52:55,"@yxseoo wahhhh , sekolah nya offline apa daring ai??",0,wahhhh sekolah nya offline apa daring ai,wahhhh sekolah nya offline apa daring ai,wahhhh sekolah nya offline apa daring ai,"['wahhhh', 'sekolah', 'nya', 'offline', 'apa', 'daring', 'ai']","['wahhhh', 'sekolah', 'offline', 'daring', 'ai']","['wahhhh', 'sekolah', 'offline', 'daring', 'ai']","['wahhhh', 'sekolah', 'offline', 'daring', 'ai']",wahhhh sekolah offline daring ai
had3uh,2021-10-26 22:50:39,Serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw,1,serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw,serumah baru inget kalo adek hari ini jadwalnya sekolah offline wkwkwkwkw,serumah baru ingat kalau adik hari ini jadwalnya sekolah offline wkwk,"['serumah', 'baru', 'ingat', 'kalau', 'adik', 'hari', 'ini', 'jadwalnya', 'sekolah', 'offline', 'wkwk']","['serumah', 'adik', 'jadwalnya', 'sekolah', 'offline', 'wkwk']","['serumah', 'adik', 'jadwalnya', 'sekolah', 'offline', 'wkwk']","['rumah', 'adik', 'jadwal', 'sekolah', 'offline', 'wkwk']",rumah adik jadwal sekolah offline wkwk
pvriod,2021-10-26 22:49:10,@DiMabokTaekook Gue kira sekolah offline,0,gue kira sekolah offline,gue kira sekolah offline,gue kira sekolah offline,"['gue', 'kira', 'sekolah', 'offline']","['gue', 'sekolah', 'offline']","['saya', 'sekolah', 'offline']","['saya', 'sekolah', 'offline']",saya sekolah offline
ciciyoonmin,2021-10-26 22:31:38,"Bete banget dahhh pagi"" mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny 😭",1,bete banget dahhh pagi mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny,bete banget dahhh pagi mau sekolah offline eh malah ujan malah naik motor woii masuk angin rasa ny,sebal banget dahhh pagi mau sekolah offline eh malah hujan malah naik motor oi masuk angin rasa nya,"['sebal', 'banget', 'dahhh', 'pagi', 'mau', 'sekolah', 'offline', 'eh', 'malah', 'hujan', 'malah', 'naik', 'motor', 'oi', 'masuk', 'angin', 'rasa', 'nya']","['sebal', 'banget', 'dahhh', 'pagi', 'sekolah', 'offline', 'eh', 'hujan', 'motor', 'oi', 'masuk', 'angin']","['sebal', 'banget', 'dahhh', 'pagi', 'sekolah', 'offline', 'eh', 'hujan', 'motor', 'oi', 'masuk', 'angin']","['sebal', 'banget', 'dahhh', 'pagi', 'sekolah', 'offline', 'eh', 'hujan', 'motor', 'oi', 'masuk', 'angin']",sebal banget dahhh pagi sekolah offline eh hujan motor oi masuk angin
jmlokal,2021-10-26 22:24:09,"Sekarang padahal sekolah offline, tapi gua blm tidur sama sekali.",-1,sekarang padahal sekolah offline tapi gua blm tidur sama sekali,sekarang padahal sekolah offline tapi gua blm tidur sama sekali,sekarang padahal sekolah offline tapi gue belum tidur sama sekali,"['sekarang', 'padahal', 'sekolah', 'offline', 'tapi', 'gue', 'belum', 'tidur', 'sama', 'sekali']","['sekolah', 'offline', 'gue', 'tidur']","['sekolah', 'offline', 'saya', 'tidur']","['sekolah', 'offline', 'saya', 'tidur']",sekolah offline saya tidur
nadaabcde,2021-10-26 22:21:34,"pagii moots ! mau tanya dong, sekolah kalian masih online atau udah offline nii??? kalo aku sendiri udah offline 😆 #nadabertanya",1,pagii moots mau tanya dong sekolah kalian masih online atau udah offline nii kalo aku sendiri udah offline,pagii moots mau tanya dong sekolah kalian masih online atau udah offline nii kalo aku sendiri udah offline,pagii moots mau tanya dong sekolah kalian masih online atau sudah offline ini kalau aku sendiri sudah offline,"['pagii', 'moots', 'mau', 'tanya', 'dong', 'sekolah', 'kalian', 'masih', 'online', 'atau', 'sudah', 'offline', 'ini', 'kalau', 'aku', 'sendiri', 'sudah', 'offline']","['pagii', 'moots', 'sekolah', 'online', 'offline', 'offline']","['pagii', 'moots', 'sekolah', 'daring', 'offline', 'offline']","['pagi', 'moots', 'sekolah', 'daring', 'offline', 'offline']",pagi moots sekolah daring offline offline
wtanable,2021-10-26 22:13:47,"@chnasbOo HSJAHSKAH SEKOLAH OFFLINE KERASA LAMA BGT SELESAINYAA, STRESS GUE",-1,hsjahskah sekolah offline kerasa lama bgt selesainyaa stress gue,hsjahskah sekolah offline kerasa lama bgt selesainyaa stress gue,hsjahskah sekolah offline kerasa lama banget selesainyaa stres gue,"['hsjahskah', 'sekolah', 'offline', 'kerasa', 'lama', 'banget', 'selesainyaa', 'stres', 'gue']","['hsjahskah', 'sekolah', 'offline', 'kerasa', 'banget', 'selesainyaa', 'stres', 'gue']","['hsjahskah', 'sekolah', 'offline', 'kerasa', 'banget', 'selesainyaa', 'stres', 'saya']","['hsjahskah', 'sekolah', 'offline', 'rasa', 'banget', 'selesainyaa', 'stres', 'saya']",hsjahskah sekolah offline rasa banget selesainyaa stres saya
lovjohnnysuh,2021-10-26 22:10:20,hi bestie gw sekolah offline,1,hi bestie gw sekolah offline,hi bestie gw sekolah offline,hi bestie gue sekolah offline,"['hi', 'bestie', 'gue', 'sekolah', 'offline']","['hi', 'bestie', 'gue', 'sekolah', 'offline']","['hai', 'bestie', 'saya', 'sekolah', 'offline']","['hai', 'bestie', 'saya', 'sekolah', 'offline']",hai bestie saya sekolah offline
skycynza,2021-10-26 22:09:51,ini gua bolos sekolah offline bisa gak ya njg,-1,ini gua bolos sekolah offline bisa gak ya njg,ini gua bolos sekolah offline bisa gak ya njg,ini gue bolos sekolah offline bisa tidak ya njg,"['ini', 'gue', 'bolos', 'sekolah', 'offline', 'bisa', 'tidak', 'ya', 'njg']","['gue', 'bolos', 'sekolah', 'offline', 'njg']","['saya', 'bolos', 'sekolah', 'offline', 'njg']","['saya', 'bolos', 'sekolah', 'offline', 'njg']",saya bolos sekolah offline njg
enjihgives,2021-10-26 22:07:09,kalian hari ini sekolah offline atau online?,0,kalian hari ini sekolah offline atau online,kalian hari ini sekolah offline atau online,kalian hari ini sekolah offline atau online,"['kalian', 'hari', 'ini', 'sekolah', 'offline', 'atau', 'online']","['sekolah', 'offline', 'online']","['sekolah', 'offline', 'daring']","['sekolah', 'offline', 'daring']",sekolah offline daring
arzakibii,2021-10-26 22:04:23,"@schfess PTM sih cuman kadang males bangun pagi-pagi karena kebiasaan daring masuk jam 8. pas offline jadi set 7 harus berangkat ke sekolah, rasanya badan tuh pingin nempel di kasur trs",-1,ptm sih cuman kadang males bangun pagipagi karena kebiasaan daring masuk jam pas offline jadi set harus berangkat ke sekolah rasanya badan tuh pingin nempel di kasur trs,ptm sih cuman kadang males bangun pagipagi karena kebiasaan daring masuk jam pas offline jadi set harus berangkat ke sekolah rasanya badan tuh pingin nempel di kasur trs,ptm sih cuma kadang malas bangun pagipagi karena kebiasaan daring masuk jam pas offline jadi set harus berangkat ke sekolah rasanya badan itu ingin menempel di kasur terus,"['ptm', 'sih', 'cuma', 'kadang', 'malas', 'bangun', 'pagipagi', 'karena', 'kebiasaan', 'daring', 'masuk', 'jam', 'pas', 'offline', 'jadi', 'set', 'harus', 'berangkat', 'ke', 'sekolah', 'rasanya', 'badan', 'itu', 'ingin', 'menempel', 'di', 'kasur', 'terus']","['ptm', 'kadang', 'malas', 'bangun', 'pagipagi', 'kebiasaan', 'daring', 'masuk', 'jam', 'pas', 'offline', 'set', 'berangkat', 'sekolah', 'badan', 'menempel', 'kasur']","['ptm', 'kadang', 'malas', 'bangun', 'pagipagi', 'kebiasaan', 'daring', 'masuk', 'jam', 'pas', 'offline', 'set', 'berangkat', 'sekolah', 'badan', 'menempel', 'kasur']","['ptm', 'kadang', 'malas', 'bangun', 'pagipagi', 'biasa', 'daring', 'masuk', 'jam', 'pas', 'offline', 'set', 'berangkat', 'sekolah', 'badan', 'tempel', 'kasur']",ptm kadang malas bangun pagipagi biasa daring masuk jam pas offline set berangkat sekolah badan tempel kasur
chnasbOo,2021-10-26 21:44:17,@wtanable SEKOLAH OFFLINE,1,sekolah offline,sekolah offline,sekolah offline,"['sekolah', 'offline']","['sekolah', 'offline']","['sekolah', 'offline']","['sekolah', 'offline']",sekolah offline
pluviophileky,2021-10-26 19:32:55,"Sekolah senengnya online.. Gue lebih nangkep serius.
Kerja serunya offline😭 https://t.co/IB6nRH3EuX",0,sekolah senengnya online gue lebih nangkep serius kerja serunya offline,sekolah senengnya online gue lebih nangkep serius kerja serunya offline,sekolah senengnya online gue lebih menangkap serius kerja serunya offline,"['sekolah', 'senengnya', 'online', 'gue', 'lebih', 'menangkap', 'serius', 'kerja', 'serunya', 'offline']","['sekolah', 'senengnya', 'online', 'gue', 'menangkap', 'serius', 'kerja', 'serunya', 'offline']","['sekolah', 'senengnya', 'daring', 'saya', 'menangkap', 'serius', 'kerja', 'serunya', 'offline']","['sekolah', 'neng', 'daring', 'saya', 'tangkap', 'serius', 'kerja', 'seru', 'offline']",sekolah neng daring saya tangkap serius kerja seru offline
aaattomo,2021-10-26 19:13:28,"@schfess bkn loker tapi kolong meja. dulu kl offline isi semua buku pinjeman perpus, jadi sekolah cuma bawa buku catetan",1,bkn loker tapi kolong meja dulu kl offline isi semua buku pinjeman perpus jadi sekolah cuma bawa buku catetan,bkn loker tapi kolong meja dulu kl offline isi semua buku pinjeman perpus jadi sekolah cuma bawa buku catetan,bukan lowongan kerja tapi kolong meja dulu kalau offline isi semua buku pinjeman perpus jadi sekolah cuma bawa buku catatan,"['bukan', 'lowongan', 'kerja', 'tapi', 'kolong', 'meja', 'dulu', 'kalau', 'offline', 'isi', 'semua', 'buku', 'pinjeman', 'perpus', 'jadi', 'sekolah', 'cuma', 'bawa', 'buku', 'catatan']","['lowongan', 'kerja', 'kolong', 'meja', 'offline', 'isi', 'buku', 'pinjeman', 'perpus', 'sekolah', 'bawa', 'buku', 'catatan']","['lowongan', 'kerja', 'kolong', 'meja', 'offline', 'isi', 'buku', 'pinjeman', 'perpus', 'sekolah', 'bawa', 'buku', 'catatan']","['lowong', 'kerja', 'kolong', 'meja', 'offline', 'isi', 'buku', 'pinjeman', 'pus', 'sekolah', 'bawa', 'buku', 'catat']",lowong kerja kolong meja offline isi buku pinjeman pus sekolah bawa buku catat
jungjjeffrey_,2021-10-26 18:59:28,@convomf SAMA AJGG BESOK SEKOLAH OFFLINE LAGI ADUH,-1,sama ajgg besok sekolah offline lagi aduh,sama ajgg besok sekolah offline lagi aduh,sama anjing besok sekolah offline lagi aduh,"['sama', 'anjing', 'besok', 'sekolah', 'offline', 'lagi', 'aduh']","['anjing', 'besok', 'sekolah', 'offline', 'aduh']","['anjing', 'besok', 'sekolah', 'offline', 'aduh']","['anjing', 'besok', 'sekolah', 'offline', 'aduh']",anjing besok sekolah offline aduh
onlyoneclara,2021-10-26 18:53:39,@bertanyarl Kangen sekolah offline ga?,0,kangen sekolah offline ga,kangen sekolah offline ga,kangen sekolah offline tidak,"['kangen', 'sekolah', 'offline', 'tidak']","['kangen', 'sekolah', 'offline']","['kangen', 'sekolah', 'offline']","['kangen', 'sekolah', 'offline']",kangen sekolah offline
seoulkjinie,2021-10-26 18:25:14,langit bisa kah engkau turunkan hujan dengan petir besok? saya males sekolah offline :(,-1,langit bisa kah engkau turunkan hujan dengan petir besok saya males sekolah offline,langit bisa kah engkau turunkan hujan dengan petir besok saya males sekolah offline,langit bisa kah engkau turunkan hujan dengan petir besok saya malas sekolah offline,"['langit', 'bisa', 'kah', 'engkau', 'turunkan', 'hujan', 'dengan', 'petir', 'besok', 'saya', 'malas', 'sekolah', 'offline']","['langit', 'kah', 'engkau', 'turunkan', 'hujan', 'petir', 'besok', 'malas', 'sekolah', 'offline']","['langit', 'kah', 'engkau', 'turunkan', 'hujan', 'petir', 'besok', 'malas', 'sekolah', 'offline']","['langit', 'kah', 'engkau', 'turun', 'hujan', 'petir', 'besok', 'malas', 'sekolah', 'offline']",langit kah engkau turun hujan petir besok malas sekolah offline
schfess,2021-10-26 18:13:44,"SchApp! sch! aku besok sekolah offline tapi takut, soalnya gada temen😞 temen kelas pada nge circle semua:((",-1,schapp sch aku besok sekolah offline tapi takut soalnya gada temen temen kelas pada nge circle semua,schapp sch aku besok sekolah offline tapi takut soalnya gada temen temen kelas pada nge circle semua,schapp sch aku besok sekolah offline tapi takut soalnya tidak ada teman teman kelas pada nge circle semua,"['schapp', 'sch', 'aku', 'besok', 'sekolah', 'offline', 'tapi', 'takut', 'soalnya', 'tidak', 'ada', 'teman', 'teman', 'kelas', 'pada', 'nge', 'circle', 'semua']","['schapp', 'sch', 'besok', 'sekolah', 'offline', 'takut', 'teman', 'teman', 'kelas', 'nge', 'circle']","['schapp', 'sch', 'besok', 'sekolah', 'offline', 'takut', 'teman', 'teman', 'kelas', 'nge', 'circle']","['schapp', 'sch', 'besok', 'sekolah', 'offline', 'takut', 'teman', 'teman', 'kelas', 'nge', 'circle']",schapp sch besok sekolah offline takut teman teman kelas nge circle
