"username","tweet","label_sentimen"
"doyric","Bisa ga si sekolah offline pas gua lulus aja???","-1"
"muhammadiyah","Penerapan kurikulum merdeka di Sekolah Dasar Muhammadiyah 1 Ketelan Surakarta mampu mengeksplorasi potensi unik setiap individu siswa dan para guru sesuai dengan tujuan yang akan dicapai. 

https://t.co/YM4IXMn6jN
#Pendidikan #MerdekaBelajar #Muhammadiyah #IslamBerkemajuan","0"
"Sinchan1911","@tanyakanrl Ku semenjak sekolah offline dua kli nder","0"
"yedamipie","waktu masih sekolah online maren, w bs fokus rl gt yak, pas dh offline knp jadi makin nolep gini","-1"
"kupu2terbangg","@tanyakanrl foto ini diambil waktu awal awal sekolah offline 

– 20 sep 2021 https://t.co/5tXCC89yRl","0"
"chocopeanutjam","SMP, aktif ekskul dan nyaman bgt sama ekskulnya. Terus fasilitasnya lengkap bgt sampe greenhouse pun ada. Perpusnya nyaman, kalo istirahat sering ke perpus. Pulang sekolah rame-rame bareng temen. Temennya asikk. Dan satu lagi
✨OFFLINE✨ https://t.co/IpqG3KpqhJ","1"
"apisindica","Keluar apartemen langsung macet karena di depan ada sekolah islam plus dari TK sampe SMA yang semuanya udah pembelajaran tatap muka 100%. https://t.co/LBUcfJ7C6n","-1"
"aooralpoetri_","@collegemenfess jujur ini gue lg batuk trus tenggorokan gatel udah 3 harian
tp pls jgn online duluu,gue pgn ngerasain sekolah offline,gue kangen seragam guee,gue kangen interaksi sm crush
papa gue uda ngasi duit buat beli kebutuhan back to school,masa mau diambil lg grgr gjdi back to school🙂","1"
"nasyadzkia","@schfess tergantung sekolah gasih🤔 aku smk, dulu masuknya tes psikotes gitu, dan karena belum ada corona, ya offline. tp gatau kalo skrg","0"
"demenroti","same question tapi kalo di gue bukan tawuran. i ask my mom ""itu abis pulang sekolah kok pada main &amp; nongkrong sih, emang pulang sekolah gak langsung les?""

found out ternyata yang ikut bimbel offline cuma gue doang di kelas 😂 https://t.co/MJvMWZFre7","-1"
"diabrtmsy_","Gada soalnya sekolah tatap muka singkat, setelah itu lanjut libur covid sampai lulus🥲 https://t.co/lKylFHg17t","0"
"vifichan","😭😭
Lapo pas kebagian aku sekolah wis tatap muka 100%

Meski pernah ngerasakne kuliah offline. Tapi rasa pd ku wis menurun ra koyok mbiyen dan saiki maleh akeh introvert e😭😭 https://t.co/sTIwUfJh8j","-1"
"ale23U","1. mingdep sekolah offline. (yang disebelah kanan priv accnya isha ceritanya) https://t.co/r6adM58h6B","0"
"minewithmine","maaf ya aku kinda ia dan belum post saldo lagi, aku lagi ada ujian sekolah offline😭 mana setahun gangerti apa apa🥹🥲","-1"
"anggi_uniench","otw Muslimah BAWEL haha

mau ke Al Azhar, mesjid samping sekolah. Jaman trust issues jadi urusan penting. 

Kajian offline kali ini OSD mampir menyapa anak Jaxel.

So, Muslimah BAWEL,this acronyme for women who brave-awesome-wise-elegant and low profile, mana suaranya?","-1"
"pengeneapaoyy","Buat temen-temenku sekalian yang kerja, yang sekolah, yang kuliah offline #TetapSehatPakaiMasker please banget harus pake masker ya, jaga kesehatan supaya terhindar dari hepatitis akut #LawanHepatitis https://t.co/FjgreyXjMI","-1"
"youryorozu","@mid8riya Aamiinn, makasih yaa. Sebenarnya gelisah pas tau PAT offline, udh lama gk ulangan di sekolah soalnya 😰","-1"
"notninottt","@A_ChristyJKT48 Ciee si paling bangun pagi karna sekolah offline wkwk","0"
"ggfrac357","semenjak sekolah offline dan mulai aktif jd jrg main tw 😢","-1"
"yan_widjaya","*Bioskop 100%*
PPKM Level 1 di Jabodetabek, Bandung, Semarang, Solo, Jogjakarta, Surabaya, Malang, n Bali.
Sekolah Tatap Muka, Cafe, Restoran, Pusat Kebugaran, Mall, Bioskop, boleh 100%.
Menyongsong Jakarta Fair 9/6 - 17/7/2022 https://t.co/pPl1LxCzJ3","1"
"avocadocookies","@schfess — pun ikut bertambah mulai dari yg asik dan klise sampe yang ngeselin… mungkin km bisa mulai dari ikut kegiatan” yang ada di sekitarmu nderr apalagi skrg dah mulai offline. ga perlu di sekolah kokk di luar jg banyak komunitas dsb… semangaattt —","0"
"myluvjaejaez","sekolah offline capeknya double🥹","-1"
"Goldenbabels","@covelitee Emang sekolah udah offline ya dek?","0"
"morksushi","@doietokkii kalo sekolah akuu masih gabungg ada yg offline ada yg onlinee","0"
"paccarasahi","@ilovesruto iyh, sekolah pun bisa ngonser offline","1"
"levio0sa_thvjk","@chitaglorya__ BAD DAYYYYY
kacamata ku patah😭😭😭😭😭 besok mulai sekolah offline padahal😭😭 https://t.co/PAtgDTL5Y3","-1"
"amikanita_itn","Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/7kRtA5MNmp Kader PDIP Bersama Puan","1"
"susumurnibabi","Jujur belom, gue stress kudu ujian offline di sekolah dosmaish berasa ngang ngeng ngong doang batiba ujian, ottoke ini anjir🫠 gue kudu semangat /tetap letoy https://t.co/dUbUG4RhUt","-1"
"michael_elijah","@A_ChristyJKT48 siang Christy.. Semangat Christy buat sekolah offline nya.. Christy hwaiting 화이팅 ✊✊ jangan lupa makan siang nanti ya.. Gbu 😇😇 #ChriStory","1"
"statugm","hueheueheueh study acc tp tiap hari kerjanya sekolah, tidur, nonton yt, tidur lagi. gaada tuh ceritanya belajar, paling kalo besokannya ulangan offline💀💀","-1"
"txtdaricapsai","blub blub blub blub blub blub blub blub blub cie yg pagi ini sekolah offline👀

jgn lupa sarapan, semangat!!!😗💙 https://t.co/uYcakch3ve","1"
"crayolastale","@panekuks soalnya gue tau dia cuma berani di sosmed doang, pas sekolah offline dia liat gue aja lngsng lari 😭","1"
"hyuwnjae_","wkwkwk iri banget ngeliat sekolah lain wisuda offline sekolah gue gaada apa apa hdbhshwb mau nangiss","1"
"NovietaSuyoso","Sekolah sampun dimilai offline. Wonten sepalih tiyang sepuh asli tiyang Jawi mboten saget krama, mboten saget ngajari putranipun wusananipun kang putra pikantuk nilai awon. Menawi sampun mekaten, gurunipun ingkang dipunsalahaken. Vid punika menawi dados semangat sinau boso Jawi🙏 https://t.co/I7md7s8NX2","1"
"convomf","mau tanya donggg, sekolah kalian udah ada yang bikin classmeeting offline belum? 💭","0"
"PatihGaj_Ahmada","@CNNIndonesia Institusi pendidikan sudah tak ada kata mengabdi, sudah hilang sirna. Sama bangsanya sendiri juga dijajah. Sekolah itu tatap muka bukan online.
Pancasila dikemanain dihati para sang pendidik cuman makan gaji gedhe doang.
@prabowo @MCAOps @karniilyas Jokowi","1"
"dprtmas","@A_ChristyJKT48 Terakhir pas kamu shonichi sekolah offline lagi","0"
"bukananyaforger","@pxstlvy Pas udh dibolehin sekolah offline hari pertamanya giman😭 canggung ga?","0"
"elsianoalkaf","@A_ChristyJKT48 pagiii semangat sekolah offline nya kity!!!","1"
"sparkliesdust","but sometimes im glad that i got new friends this year. kayak baru baru aja gitu dapet temen baru pas sekolah offline kayak bener2 gue kurang interaksi apa... setahun gadapet temen baru...","1"
"feastcrows","@beamingpup Sekolah udah offline lagi","1"
"bis_sekolah","@collegemenfess kalo offline ga cukup sih","-1"
"babunyanegara1","Guys klo kalian di kabari. Sama sekolah UJIAN PAS OFFLINE H-4 ujian nya APA TANGGAPAN KALIAN ?","0"
"dobbiiofl","aku di smp berangkat sekolah offline aja itungannya ga nyampe setahun, sisanya di rumah terus...","0"
"chlaarie","kalo abg gue kuliah offline, nanti siapa ya yg jemput gue sekolah sm bimble🤔🤔 bisa sendiri si.. TP MAGER AJJ😃😃","-1"
"yoon2you","gara"" sekolah offline jadi jarang bgt buka twt 🥹","-1"
"divaakhsana","Semenjak ade2 gue udh pada sekolah offline alhamdulillah bisa minta jastip jajanan kantin (gue terakhir ke kantin 8 pas kls 11 abis uts w inget bgt)","1"
"RiniAR9","Ya ampun padahal baru aja agak bebas boleh buka masker kalo ditempat yang sepi, terus sekolah juga udah sering offline eh ini ada #WaspadaCacarMonyet","-1"
"souInotfound","ini sekolah udah offline 100% tapi masih aja ada info yang diumumin secara online","0"
"awraawrr","@CocobitID aku udah offline sih MinCo terus sekarang lagi sibuk belajar buat ujian sekolah, ada dong kalo cocobit selalu stok buat dirumah pokonya gaboleh kelewatan biar lebih semangat buat belajar pokonya  @CocobitID  #FruitaminCocobit #Cocobit #SegarBerkonten","1"
"FILMRCHA","jujur pas sekolah online aku lebih ambis. tapi kalo sekolah offline materinya lebih masuk https://t.co/kLkSWJCONX","0"
"vionababyoun1t","@Fenly_un1ty Dulu waktu jaman sekolah offline pas guru lagi nerangin pelajaran aku sering kok melek tapi tidur 🤪","0"
"ranshujii","(HRT ) halo moots? I'm so sorry for being unactive lately, rasanya kehilangan mood buat buka Twitter. Di tambah sekarang sekolah yang udah offline full &amp; gua jd cpet capek, PAT ia starting next week and I have to prepare the exams as well.. so I'm going to take a rest-","-1"
"eonnining","@samsungID BANYAK BANGET KENANGAN SEKOLAH OFFLINE PAKE SERIES J INI😭😭😭😭 jujur sedih buat say #ThankYouGalaxyJ but buat keperluan yang lebih terjamin kayanya emg harus upgrade ke #GalaxyA03 yang speknya udah lebih jauh nih😍😍 semoga di lirik mimin @samsungID 😍🙌","0"
"hourlyciaa","@arywahyuni___ @maltvhe mjb kak, aku bikin di sekolah tujuan atau kalo sekarang sekalian aja daftar offline kak","0"
"bwobul","@dynorawz HEHEHEHE SAMAA justru krn sekolah udah offline gada online samsek jadi susah buat buka stan twt 😢😢😢 KANGEN JUGA HUFR GMN GEBRAKAN KAK ICHANNYA AKHIR AKHIR INI????","-1"
"missufea","@convomfs Sepatu sekolah klo dah mulai offline","1"
"dryymal","Kalo misalkan sekolah offline sampe jam 3 lagi, badan gw remuk sih pasti","-1"
"pocawoozi","@nonujpg Wihhh, udah sekolah offline lagi yaa sekarang. Aku hari ini libur kerja jadi di rumah aja seharian heheh","0"
"nctten","sekolah offline enak https://t.co/6HBy6Ut4Y5","1"
"lyn_rockyswag","Memandangkan sekolah kat msia sekarang banyak yang guna barcode disetiap kelas kan ,,, mesti pc holder akan banyak dipasaran😂 i tengok tt,  students letak code tu dalam holder tu😭 harap ada la jual bebanyak kat offline store","0"
"GilangAdhil","@A_ChristyJKT48 Cie yg udah sekolah offline, semangat dede kity","1"
"gladyaqiana","#WaspadaCacarMonyet ini konspirasi apalagi weh abis covid terbitlah cacar monyet yang gejalanya 11 12 huhuhu aku mau sekolah offline weh udah capek ngang ngmong dirumah terus , ett tapi tetep waspada ya gengs jangan sampe kecolongan lagi !","-1"
"jaewoahh","@hundredtaey iyaaa btul :(( offline iya fotonya di sekolah tp pake green screen tpi ttep per jadwal jd gbsa ngmpul2 banget gt 🥺😭","0"
"Rbesar___","@KemenkesRI mengonfirmasi kasus hepatitis akut misterius pada anak-anak naik menjadi 16 kasus. Seiring kembali berlakunya pembelajaran tatap muka di sekolah, para orangtua pun diminta waspada...
#WaspadaHepatitisAkut","-1"
"AndyBogar09","@PRFMnews apalagi kalo smpn 22 sudah full tatap muka.... jam masuk dan jam pulang sekolah bakalan jd pe er","1"
"callmejiem","alarm jaman masi sekolah offline https://t.co/y9qjNCj6Hg https://t.co/hxWGOAgRtR","0"
"purptata","@convomf januari 2022, soalnya ak sekolah nya jauh. kmrn sekolah nya udah offline jadinya ak masuk sekolah, gak ketemu ayah lagi 🥲 tapi tetep telfonan sih, itu diitung ngobrol ga si? aowkakwkwkwk","-1"
"AnOdeToShua","@hellopiyaa aku adaa tae gengmo, ngepull dari albumm kebetulann ga beli wkwk 😭😭 kapan sini kamu ke balii :( aku mau ke jkt susah ih bentar lagi sekolah offline kayaknya 😔😔","-1"
"XHIndonesia","Sejumlah petugas pemadam kebakaran melakukan disinfeksi di sebuah sekolah di Distrik Putuo, Shanghai, Tiongkok timur, Jumat (27/5). Penyemprotan disinfektan dilakukan di berbagai sekolah di Shanghai sebelum pembelajaran tatap muka (PTM) dimulai kembali https://t.co/Gl9Jzqlfki https://t.co/gHqDWWf47a","0"
"parhjisung","@tiaqrya pengen tidur cepet klo niatnya wkwk, soalnya besok sekolah offline😩","-1"
"kartika_ptrii","Puan bersyukur Indonesia mulai memasuki fase endemi Covid-19. Dengan kondisi ini, anak-anak disebut bisa kembali melakukan pelajaran tatap muka (PTM) di sekolah dengan tenang. https://t.co/phX5ArYP3T Kader PDIP Bersama Puan","1"
"everytae_","@schfess IYAAA IRII BANGETT KARNA GABISA NGERASAIN SEKOLAH FULL OFFLINE😭😭😭","1"
"not_urD","ini seminggu sebelum sekolah mulai offline 2 minggu karena covid. taunya bablas sampe lulus 😭 kangen sc, mau ke yogya lagi😻😻😻 https://t.co/J8a5PZLXqn https://t.co/G9qohwfNka","1"
"yujintangsel","kyknya grgr udh mulai sekolah offline 100% gue ga ada banyak waktu buat makan lg","-1"
"dyheexseung","@areinblue Gak ada sumpah 😭
Tapi ini jam belajar aku
Waktu sekolah Online 3-4 jam
Sekolah Offline 2-3 jam
Mau ujian 4-5 jam
Perhari, udah gini doang","0"
"DikAritonang48","@A_ChristyJKT48 Pagii dek. Semangat sekolah offline nya. 💪💪","1"
"kiko_no_study","for context, schedule ku wktu SMA offline kls 10 stlh sekolah:
weekday ikut ekskul smpe jam 5, kerja tugas, belajar, les mandarin.
weekend kerja tugas, belajar ulang, ikut ReKat, ikut gereja, dll

SMP lbh parah; weekday ada les kumon &amp; inggris, libur diisi les design :"") https://t.co/t2CDNhW5Tw","0"
"jnkmlk1","kamu kalo makan siomay team yang pake campuran kaya kubis, kentang, paria atau team siomay nya aja ni?
masih kegiatan kah? habis kegiatan entar langsung istirahat ya jangan begadang biar besok sekolah offline nya kaga telat wkwkwk @A_ChristyJKT48 #ChriStory","0"
"mikyal107","Kalo sekolah offline 100% zoom &amp; gmeet jadi app paling ngga berguna setelah WA","0"
"xrinazz","online, karena aku setiap sekolah offline deg degkan mulu https://t.co/4Oc9D3EaX7","-1"
"cacajeon1","@samsungID #ThankYouGalaxyJ udah nemenin aku selama sekolah offline, sekarang udah sekolah online dan didampingin #GalaxyA03 semoga semuanya bisa makin lancar!
@kyeomieluv @palranghaeisa @kimkimchristie @samsungID","0"
"Introvert_bnget","Rame bener bocah sd sekolah offline","1"
"Sseravillae","Tapi itu cuma pas semester 1 pas semester 2 dan seterusnya aku nge stuck di ranking 17 terus 😭, aku cuma baru offline di sekolah itu beberapa bulan itupun masuknya gak full setiap hari (karena dibatasi 50%) sekarang dah mau lulus, dah wisuda juga tpi belum pengumuman kelulusan😅","0"
"TAEK0OKS","besok sekolah offline atau online??","0"
"kth30k","Btw tuh sekarang kalau sekolah udah offline semuanya kah?","0"
"gnetinae","@schfess pengen, u know lah sekolah tatap muka kl diitung"" ga nyampe setahun","0"
"jjakeyc","kenapa ya, aku klo sekolah offline males mulu.. tpi klo skolah online justru ambis","-1"
"draemys","wisuda offline di lapangan sekolah aja udah abis 700an, tmn gue pada ribut mau di gedung 😐, gak bersyukur anjg","-1"
"michael_elijah","@A_ChristyJKT48 Siang Christy.. Semangat juga kamu buat hari ini sekolah offline dan kegiatan nya.. ✊✊","1"
"bilaqanita","Ketika dapat kabar dari sekolah kalo PAT jadinya offline
pdhal awal ksih info ujiannya online https://t.co/mu7Px0q4j9","0"
"bos_tari","Anak lanang menjelang sekolah offline byk bgt upgradenya. Celotehnya lebih banyak dan lebih keeping eye contact kl lg ngmg dan seharian ini dia lg seneng bgt bongkar pasang puzzle. Gemes 💕","1"
"dendth","@CNNIndonesia Sudah disekolah pun masih belajar pake gawai udah kaya sekolah online. Bukannya tujuan belajar tatap muka supaya murid bertemu langsung sama pengajar? Sistem pendidikan macam apa ini?","-1"
"diebarneule","Lupa gimana rasanya sekolah offline.","0"
"lilcuteddy","Yang udah mulai sekolah/kuliah/kerja offline pasti butuh banget flashdisk ✨ 

Flashdisk SanDisk 32 GB ini harganya 35k aja lho (harga pasaran 50k ke atas).

Hanya ada 1 buah, jadi silakan dicheck out yaa kakak2 selama persediaan masih ada 😉
https://t.co/evukx5j9Ad

#zonauang️ https://t.co/lc1IRm0Vw6","0"
"niiniin10","Wkwkw lucu dnger adek w culture shock sekolah offline, katanya networking penting ceunah biar dpt kunci jawaban dr kls lain😂😂 trus dia pusing kimia wkwkwkwkkw","-1"
"NiaShoka10","#WaspadaCacarMonyet ini konspirasi apalagi weh abis covid terbitlah cacar monyet yang gejalanya 11 12 huhuhu aku mau sekolah offline weh udah capek ngang ngong ngang ngong, ett tapi tetep waspada ya gengs jangan sampe kecolongan lagi","-1"
"naasaemi","@thinkerbilie belajar, krna ujian nya udh offline di sekolah djhsbssnbdbdb","-1"
"unknown200194","Pas lgi gda guru mreka tatap tatapan trus masang muka ramah critanya, abis tu Sungjoon ngomong

""Pulang nanti gue tunggu lo di lapangan deket sekolah"" https://t.co/RF3W45WPHP","0"
"bybo_dus","@A_ChristyJKT48 gimana sekolah offline nya hari ini? #AdikImpian","0"
"exoegxy","aduhhh kek bunda bunda ekspatriat belanja bulanan buat bekal anak soalnya anaknya udah masuk sekolah tatap muka https://t.co/9tdcmeQ6v9","1"
"RizkyBeben28","@A_ChristyJKT48 Wedeh semangat njel, seru banget tau sekolah offline","1"
"Shaggy_Solo","@IndraMahardhany @Kemdikbud_RI Loh? Kota mana yang masih sekolah daring dan belum tatap muka Pak? Kok masih ada sih?","0"
"EventsJKT","Siapa nih yang anaknya sudah mulai sekolah tatap muka? Pasti senang banget dong! Eitss... Walaupun sudah mulai tatap muka tapi jangan lupa tetap patuhi protokol kesehatan ya. Selain itu, untuk menjamin anak tetap makanan bergizi di sekolah, #PrimaSeafoodLovers bisa lho

(1) https://t.co/YQk6ImIIjv","1"
"kaze0996251","yah sekolah udh mulai offline, makan gw ntar dikit kyk pas sd jadi pendek lg dong :(","-1"
"assitdsol","ngeliat sg temen temen yang sekolah udah pada classmeet offline. RASA IRI DENGKIKU GEDE BANGET INI","1"
"Nizah_Sonata","Brokoli + Chickel teriyaki + Samboza. 😍
Sudah sekolah offline. Mulai rajin bikin2 bekal lagi. 😌 https://t.co/YaSocAZWpX","1"
"elnoprakarsa","@SULLYOONcun udah gak sekolah offline, nas?","0"
"dutchlad_","Positive thinking mungkin yedam lg sekolah musik diluar trs offline, jadinya gabisa ikut...","0"
"hendriyt","@PSSleman KONSER OLEH, PASAR MALAM OLEH, SEKOLAH WE WES TATAP MUKA, DELOK BAL KOK RA OLEH, GALO SEK CERAK DENGGUNG KEBAK UWONG TERUS 🥲","1"
"_Sheena______","@A_ChristyJKT48 Morning dede

Mangatts sekolah offline nya 😉💛","1"
"trysmileveryday","aduh kadang yang ngeselin dari sekolah offline tuh kerennya pas pagi doang, pulangnya kucel","-1"
"arnetanovi_","Lanjut lg ttg ‘main hp’, berhubung sekolah udah offline, jd ga ada alasan lg buat si bocil main hp lama2. Aku buat aturan lg buat mereka wkwk. Yg mana jadwal main hp hnya boleh malam hari stlh jadwal belajar selesai (selama 1jam) tpi,-","1"
"niquesemii","padahal sekolah lain klo online, selesai lebih awal... ini mah sama aja offline sama online nya 😭👍","0"
"gita_png","@shijeuni @convomf aku dari awal offline sekolah kalo dapet tugas kelompok sm crush mulu, eh pas udah temenan deket, saling nanya tugas ini itu, dapet info klo dia udh punya cewek 💔","1"
"1999Gibran","@A_ChristyJKT48 Semangat juga yg sekolah offline","1"
"tbzmilsun","sekolah mana lagi yang graduation offline tapi baru ngumumin h-4????? ya betul smansa doang","0"
"andinsside","kalo sekolah offline https://t.co/KfA4uaUQZo","1"
"albaniasn","@subschfess Kalau aku sendiri waktu kls 12 kyk orang Ling lung,  GA sekolah offline, di rumah ga fokus. Belajar ke ganggu. 😔 beneran bingung bgt awalnya, ancur, gatau mau gimana, stres bgtt. Semua nggak ada hentinya, belajar, sekolah, ujian, cari cuan, repeat lageee","1"
"JempolJohan","@Obay_Kusut1981 Sekalian sekolah/kuliah Offline ya...","0"
"laraaacroft","padahal mereka kemaren lagi aktif2nya promote zenru.. eh apa karena sekolah mulai tatap muka?","0"
"Hyoukayaka","Buat yang udah sekolah offline, semangat yaaa 😤👍","1"
"jexatommo","@khaiaths Eh nggak tahu sekolah lain kek apa, tapi sekolah ku walau negeri yang ngurusin ppdb itu anak mpk-osis tingkat 2 sama 3🥲mau online sama offline.","0"
"ayupermata","@rimasi_ Sudahhh, paud KB di sekolah murid merdeka (gpp disebut, karena basisnya sekolah online😂) udah setahun. Juli ini pindah ke sekolah offline, naik kelas ke tk A.","0"
"boonboonii","@tanyakanrl yaallahh apa lagi plis yaa gw mau sekolah offline gw pengen mos gw offlineee😭😭😭","1"
