tweet,label_sentimen
"hadehh ternyata lebih enakan sekolah online ya😭 kl offline tu ky apa ya, males bgt kudu mandi pagi, sarapan, terus juga gabisa sambil tiduran HAHAHA 🙏🏻",-1
"Stase anak, obgyn, ipd udah mulai jaga ampe pagi 🥺 yuk bisa yuk corona ilaaangg 🥺 aktifitas kuliah sekolah bisa kembali normal juga 🥺

Hari ini vaksinasi anak sma, percobaan mau kelas offline. Semua siswanya ""iya kak, sekolah online mah bego"" 🥺",1
"tbh lebih suka online, gatau kenapa lebih masuk materinya di aku. tapi kalau suasana sekolah lebih suka offline https://t.co/EOJqFinjOo",0
semenjak sekolah offline tidur awal terus bukan emg harus bangun pagi sih tapi lebih ke capee bgtt,-1
"@convomf Gausah lah buat apa aku juga kok ga buat menurut aku ga guna juga soalnya setahun doang kan offline nya dan aku emg ga deket deket amat and lumayan di aku 300 an sayang duid anjirun biaya sekolah aja dah mahal gue gamau nambahin beban:"")",0
"GUE TAKUT KALO BSK DIA PAS MASUK SEKOLAH MATANYA BENGKAK ANJIRR MANA SEKOLAH OFFLINE LAGI, MASA ENTAR DITANYA SAMA GURU KAMU KENAPA ITU MATANYA? HABIS NANGISIN COWOK AU BU? KAN... BINGGUNG NANTI GURUNYA:(",-1
pliss ga bisa tidur besok pertama kali sekolah offline setelah beberapa abad😭🙏🏻,-1
@cllydefvl capek ya ternyata sekolah offline 😔,-1
"YaAllah besok ulangan bio OFFLINE, online sie tapi kita tu offline ngerti gx. Kita ke sekolah ulangan tapi tetep pake hp. TERUS NANTI NASIB KU GIMANEEE. Manalagi belajar trus si bolsi NGIRIM VIDEO JEONGWOO JIHOON KAN SAYA JADI TIDAK JADI BELAJARR",-1
"@bertanyarl 🙏😭 enak asli, dulu sering beli, jualan nya keliling gitu, sekarang udah jarang lewat, kadang dulu kalo sekolah offline musti pas pulang beli itu 🙏😭",1
Wah sekolah offline tdk cocok untuk manusia pelupa seperti saya. Untungnya td temen ngingetin klo ada pr. Klo g mampoes aku.,-1
"@sunewrld @deobifess Jgn dong kita kan blm sekolah offline, nnti km gapunya temen deobi lgi dikelas gmn",0
jd inget pas masih offline dulu sering pake tab sekolah trus gabisa dipake buat buka yutub dan hal2 rekreasi lainnya 👍😭 https://t.co/f8momSslmh,0
"☆ study progress
🗓️ Tue, Oct 26

hai hai! sorry ya aku jadi jarang banget up progress karena udh mulai offline dan jadwal makin padet ga sempet buka twitter. tadi di sekolah ulhar bio sksk. btw chemistry and math for my tuesday ☀️💗 rest well guys! https://t.co/1gKMnYLspm",-1
"@makmummasjid ""Denger2 gedung kosong itu dulunya sekolah offline ya pak?""
*persiapan basa basi sama bapak2 tahun 2035",0
dia nyuruh buat baru lagi tadi jam set 8 malem dan disuruh selesai besok padahal besok masuk sekolah offline 😀,0
@deathlyfive lal udah sekolah offline blm?,0
@cuffyins janlup istirahat yin!! aku sekolah nya campur kadang offline/online😵 anw goodnite 💗,0
Besok sy masuk sekolah (offline)🙂 sy mls sebenernya,-1
@abbycdeee BTW GAIS TADI KITA SEKOLAH OFFLINE LOH YUHU,1
"nyesel gua masuk sekolah offline, digibahin guru2 di kantor",-1
besok sekolah offline lagi ha.. ha.. ha..,-1
KENAPA SIH SETIAP GUE KEBAGIAN SEKOLAH OFFLINE PASTI ULANGAN 👎🏻👎🏻👎🏻👎🏻 https://t.co/1Aq0eUMJzP,-1
@chitaglorya__ HIIII KAK CHITAAAAA GIMANA HARI INI ? kalo aku hari ini capek bangetttt krn sekolah offline huhu,-1
jgn nanya au feeling blue gmn.. gua gatauu pgn lanjutin apaa lgi kena writer’s block!!! samaa lgi cari kejadian pas sekolah offline biar rada nyata gtu au ny😀😀,1
"haloo, junnie disinii. junnie mau bilang, mulai besok sampai minggu depan, junnie bakal PAS offline di sekolah (tidaaaa😭😭). jadii, kemungkinan junnie bakal off sampai junnie selesai PAS. maaf yaa caratdeul semuaa 😔😔👉👈 oiya, buat yang mau PAS atau lagi PAS, junnie doain -c-",0
"@crarckers sekolah offline tadi jadi ngerasa cape aja, iyaa ❣️",-1
@radenrauf besok ga sekolah offline,0
"@56jae kurang tau kalau study tour itu diadakan kapan, soalnya aku sekolah offline cuman pas kelas 7. Kelas 8 nya daring, sampai kelas 9 aku mulai udah ptm :(",1
"@convomf apa ya, dia nanya, kelas berapa... sekolah offline atau online, sukanya sekolah offline atau online",0
offline kenapa capek bgt yaa apa krna gue udah ga sekolah lama ya jadi badan nya makin jompo trus kagok,-1
@bayusaurus @lunai @schfess Kalo di sa pu daerah sempet online 1 semester saja. Jd dr bulan maret sampe agustus. Terus kita offline lg. Dulu pas online ya cmn dr web sekolah/wa. Dikasih file materi aja. Kadang jg ngerjain soal trs kirim wa. Kita gk pake zoom/gmeet/gcr/dsb.,1
"@skrsbrees IHHB YAUDAH KALAU GITU JANGAN SEKOLAH OFFLINE, NANTI RENA SAKIT! DARING AJA TERUS GPP ASAL RENA NGGAK SAKIT",-1
"@skrsbrees Ren tukaran yuk, aku juga kepingin sekolah online, tapi malah harus sekolah offline 😢",-1
Demi apapun pengen sekolah offline,1
"Sekolah offline sesi siang kali ini kok bikin capek bgt yh, malah sampe pusing sekarang",-1
@992sa_ sekolah online or offline,0
"alesan utama gw pen sekolah offline biar ga disuruh-suruh, paling benci anak cwo diperlakuin keak raja sedangkan anak cwe like a BABU!",1
@reveuseist UDAH MULAI SEKOLAH OFFLINE JUGA JADI AKKSJKSJSKS SIBUK BGTT😩😩😩,-1
@daprivlifee oalah sekolah offline ya?,0
aku kalo sekolah offline bisa loh otaknya jalan,1
sya makan apa ya dlu pas sekolah offline? kok bisa nulis pake aksara sunda. https://t.co/44TozJeg2U,1
"tbh sekolah offline seru aja, wlupun agk canggung krna udh lama ga ktmu tp seengganya gue kluar rumah gt loh???😥",1
gamau sekolah offline:( bisa gasi sekolah nya bisa milih gitu? kayak kalo mau off ya off kalo mau on ya on,-1
AAAAA LARI BESOK SEKOLAH OFFLINE,-1
Besok sekolah offline?!,0
Kadang pengen aj gitu sekolah offline biar ga di rumah trs kesepian tapi juga mikir kalo offline pasti ongkos ojeknya pula👍,0
"@thedyzebua97 @kaptenblink Buat yah buka yt,tiktok,ig,twitter,nonton film,main game 🤣 
Kalo sekolah udah offline jadi gk banyak pake kouta🙂",1
kalo sekolah offline pilih jamkos https://t.co/ZssyTCRrGQ,1
"@bertanyarl Tahun 2019 adalah tahun yg aku rindukan dan juga aku lupakan, dimana mungkin di tahun itu adalah terakhir nya masuk sekolah offline juga seru seruan dan di tahun itu juga papa dan bibi ku meninggal karena penyakit jantung",1
@hourlykayy jadi mau sekolah offline,1
"Selalu bawa, kecuali pas sekolah offline sekarang soalnya dilarang bawa bekal https://t.co/ULPeWejrAd",1
"pernah. ngomong ke mama pas awal awal sekolah offline, jd stiap pulang sklh mama selalu nanya ""td sama siapa di sklh? udh ad temen?"" dan aku slalu jawab ""ga ada. ga punya temen hehe"". mama nyuruh pindah ke sesi pagi, tp aku bilangny ""entaran dulu, liat 1 minggu lg"" gituu. https://t.co/6XJLupinwT",-1
@convomf asik gak sekarang sekolah offline nya?,0
@convomf lebih suka sekolah offline apa online?,0
banget. pas mikirin sekolah offline deg'an mulu https://t.co/6h4vab10IN,-1
"@Fajri_UN1TY lagi istirahat nih ji, cape abis sekolah offline:(",-1
"bentar lagi sekolah offline
musowoooowoowowwo 😭",-1
omg rabu depan gue sekolah offline,1
Akhirnya besok gua bisa sekolah offline weh private class pula🥲🥲🥲 https://t.co/bq3WwGN95G,1
lah anjrit mampus.. besok sekolah offline tapi ini kaos kaki putih dah kaga tau ilang kemana 😭😭😭😭😭,-1
"biasanya 1 kali, tapi ini sekolah offline, jadi 2 kali https://t.co/kGu9H2Yl6a",0
@convomf sekolah udh offline blm?,0
anjir ak gah sekolah offline ssk ramangkat ah,-1
"ajg lah, sekolah offline gurunya makin ngelunjak kalo kasih tugas",-1
"Fess seneng banget sekolah udah pada offline lagi, jadi bisa jajan di sd https://t.co/bAelTB56ue",1
gamau sekolah offline,-1
"SchApp! Aku siswa kelas 12 dan sekarang udah sekolah offline, setiap pulang sekolah pasti ngantuk pengen bgt tidur, padahal harusnya belajar untuk UTBK. Kasih tips dong cara kalian bisa melawan rasa kantuk, trus fokus belajar!! (Fyi, aku orangnya ga bisa belajar malem (ga fokus))",1
"habis dari sekolah bersih bersih lagi kelas, dan mungkin setelah ini per awalan bulan November udah offline Dann bakalll sibukkkk",-1
sekolah offline terus😀,-1
@mataharibulet Klau lgi sekolah online/offline sih jam 6 lewat gitu trus klau weekend mah jam 12 an 😢😢,0
@moonareas lebih suka sekolah offline apa online?,0
"Anak twitter yang baru masuk sekolah offline pas mau minjem penghapus ke temennya

""Mjb nder,kamu pnya penghapus ga?""
""Gaada""
*temen satunya nyaut
""Mmf ikutan nimbrung nih aku ada""",1
"Sch! Sekolah kalian udah seleksi ksn belum? Yang mau ikut seleksi geografi, kalian belajar nya dari mana ya.. apakah bimbel offline??",1
"@goowdboy Mau ini boleh ga si😭, buat sekolah offline https://t.co/NBtH0fsZ6W",1
"sch! gimana nih yg uda sekolah offline coba review dong?? 🫂 
kalo sender : masih belum/jarang interaksi sama temen, pada diem semua :( karena gda waktu istirahat juga, buat mapel jadi lebih paham dan gurunya okee si seru👍🏻 walaupun pulang pulang kerasa capekk 😣",1
"tp serius loh bingung bgt sm temen kls yg seneng daring😃 lu bayangin gasi kalo offline tuh cuman sekolah 3 jam, guru jrg kasih pr, materi mudah dimengerti, lah daring? tugas, ngejar deadline, materi kaga ngerti, encok, begadang, hadeh",1
"sekolah offline yang awal nya seru, makin lama makin banyak tugas 🥲🥲",-1
PLS SEKOLAH OFFLINE MAY PERGI DUDNHZJS AEFER MY LOVE,1
ck besok sekolah offline,1
"💙 mending masuk ptmt atau engga? sikon saat ini aku udh kurang lebih memahami materi sekolah jadi sebenernya ga perlu sekolah offline lagi, udh berani nanya pertanyaan juga jd udh ga sungkan2 lg",-1
"@mogcuu emang sepi moguuuu udh pada balik offline, sekolah kerja jg",0
kalian dh pada sekolah offline?,0
"@jaetheriel Iyaa, padahal semangatin aja udah cukup orang kan beda"" ya kesibukannya apalagi ini anak sekolah udah offline ada juga yg udah uts",1
"➷ 26-10-2021
JAY TUSPI SCYLLA GEMES BANGET BANGET BANGET 😭 Pulang sekolah offline paket trade dateng rasanya tuh ksjshshjsgsgs 😭💗💕💖 https://t.co/UlifkBSyco",1
@tigerlilyJey Foto terakhir yang bikin orang stress 🥲🙏🏻 tadi abis sekolah offline 😇 bissmilah ya allah 😰🙏🏻 sebelumnya makasih kak udh bikin GA ini sukses selalu 💜 https://t.co/aWHwLk9Jl5,-1
Sekilas info...... MULAI SENIN DEPAN W SEKOLAH OFFLINE 😭😭😭😭,1
"Aku baru selesai daring, abis siapin bwt besok sekolah offline juga",1
@26Z1AX @convomf iya masi ada bau bau online banyak tugas yg makin aneh” mana nanti klau bener udah full offline sekolah ampe soreeeee😭,-1
"@onnowpurbo Internet offline sebagai solusi Pembelajaran jarak jauh di sekolah

https://t.co/Lx2m9l6653",1
"@bertanyarl Akhirnya masuk sma, punya temen baru, punya kegiatan baru, kebiasaan baru. AH JADI KANGEN SEKOLAH OFFLINE NORMAL KAN GUA ELAH",1
"💭 pengen cepet cepet sekolah offline, jujur sekolah jadi satu satunya tempat kabur kalo lagi suntuk dirumah..",1
sekolah offline membuat q capek tapi klw gk offline jadi tambah bego tiada tara😩,0
@dongsichceng sekolah offline membuatku capek trs tp kalo gak offline jadi tmbh bego😩,0
sekolah offline tuh seseru itu walaupun cape,1
"yg vaksin mahasiswa, yang sekolah offline anak sd, komedi bener",-1
MAU SEKOLAH OFFLINE PLISSSS HUEE,1
"Semenjak covid gw jd kenal kpop dan gk ad overthinking2an, pling ad dikit sama idol klo jrng update gt2 doang. Dan gw jg pindah sekolah pas covid jd temen2 bru blom ad yg tau muka gw. Tp semenjak gw sekolah offline ad beberapa tmn cowo yg ya gt..",-1
"@jnxhwny jujur bener...
terus juga gw kalo sekolah offline no prob ga makan smpe rumah tapi kenapa skolah onlen gw laper mulu sksksk",1
"bayangin anjir gue dari tadi pagi kebelet berak, mana sekolah offline",0
"saking dekatnya smp dengan rumah, belnya biasa kedengaran apalagi waktu itu masih sekolah offline. sekarang, belnya kedengaran lagi. senangnyaa everything’s going normal",1
"@doyoungsvr haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
"@sa_rhmsoo haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
"@yochienori haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
"@yraluvs haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
"@jaexuchy haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
"@araacupcakes haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
kalian kalo sekolah offline bawa uang jajan brapa?,0
@yearmiese Masih sekolah offline?,1
"@ShopeeID pengen bgt buat beli laptop min, udah dari lama tapi belum kebeli
Butuh juga krn adekku akhirnya mulai sekolah offline, butuh laptop krn jurusannya

bismillah🙏",1
"hii, kalian lagi sekolah offline apa online",0
"Happy me
Ngantarin gempur sekolah offline 🥰 https://t.co/xYvckz2dFo",1
"ini acc masih aktif yaa, jangan di unfoll :""
cuman aku jarang on karena aku udah sekolah offline",1
lu kalo zoom class matiin kamera ya masuk sekolah offline lgsg begini bentukannya https://t.co/Amb7JOhlGR,-1
"@bluehooun ayo mutualan priv kaa klo bolehh, aktif ga aktif si disini xnxknsks semenjak udah sekolah offline agak jarang buka akun ini huee",0
sp yang udahhh sekolah offline cung,1
@nrtama_ capee sama tugas sekolah online tp klo disuruh offline takut ketemu org baru😭,0
"@user231103 @armbdr @pearcchlt @mineisel @whtsAppbby Mabal online?
Soalnya setahuku PTM sekolah offline to?",1
@FunthesticL Uda sekolah offline ??,1
@paslevotre_16 udah sekolah offline lau?,1
"semoga 2022 udah bisa sekolah offline kaya biasa yaa, capek bgt begini trs🥲",1
@Fajri_UN1TY lagi sekolah offline nih kak https://t.co/Fz8ZTA789O,1
"Kunci Jawaban Buku Tematik Tema 4 Kelas 3 SD Kewajiban dan Hakku di Rumah Halaman 14, 15, 16 dan 17: Meski sudah banyak sekolah yang memulai sekolah offline, namun sebagian besar proses belajar dari rumah masih dilakukan. https://t.co/0HiAyGcbsr",1
"Jujur anjir, gue ga nyangka bisa lancar ngomong di depan kelas
Udah 2 tahun ga sekolah offline gt kan padahal, tapi tiba-tiba berani",1
@Fajri_UN1TY Lagi mau sekolah offline,1
"haii tabi sudah pulangg sekolah offline , kamu offline atau online ?",0
"@A_LuluJKT48 Demi kamu aku sr sambil sekolah, mana sekolah offline",-1
"@itzelguise @armbdr Mjb, pelajaran tatap muka. Sekolah offline",1
"Halo guys selamat siang,pada sekolah offline atau daring nihh",0
@skrsbrees Loh masih daring?? Kukira udah sekolah offline,1
Svt konser online apa offline? Kaget bgt baru pulang sekolah 😢,0
Yang sekolah offline biasanta pulang jam berapaa?🤔,1
"@schfess gpp kali beb, lu bisa sekolah offline aja udah sukur 😭 kangen tau daripada online dirumah sampe lulus",1
@ournutrijijel Gue udah sekolah offline,1
"@Fajri_UN1TY nugas nii,ak lgi sekolah offline",1
"@Fajri_UN1TY lagi sekolah offline ji, ngantuk bangun tidur",-1
gasabar merasakan moment pulang sekolah pas sekolah offline,1
Gasuka sekolah offline tapi cape sekolah online,-1
"Giliran sekolah nya offline malah ga dibolehin sekolah, hadu.",1
aaaa aku gak siap buat sekolah offline back normal,-1
Kalian hari ini sekolah nya offline/online?,0
"@alrighvt seruu xixi, sekolah nya offline atau online nii? jangan lupa makan yaa, hv a nice day!",1
Pagii semua untuk yang sekolah offline semangat semuanya sch! https://t.co/1YIyyrkC9k,1
Banyak yg udah offline ya sekolah/kuliahnya,1
baru aja tadi bilang kangen sekolah offline wkwkwk https://t.co/SHsuaS2aE8,1
@taedyflowery Ka mi Udah luluss sekolah? Atau blum offline?,0
"aaa ko gada yg bilangin ak hpbd, lagi sekolah offline 😭😭😭 https://t.co/h6tmTxQk2S",1
"besok sekolah offline, malam ini gw sibuk ngerjain semua tugas",-1
sekolah offline bikin bete,-1
"mau izin rest deh, ku mulai aktif sekolah offline. yang daring pun penuh tugas 😔",0
"@Fajri_UN1TY Haii aji,, lagi apa ni?
Aku lagi sekolah offline https://t.co/crYc4aVy1S",1
"@nctzenbase streamingnya liat waktu juga dimana waktu kalian luang, soalnya sekarang udah banyak yang sekolah offline looo ada yg kuliah jg, apalagi ini weekday kan ya, tp kalo kalian senggang yuk streaming🤩🤩🤩",0
"@alyaavrd morning, lagi sekolah offline ya bestie. ☺️",1
@oh4eva Sekolah offline njir aku hari ini,-1
"@yeolbabylion SEMANGAT NA 😭 sekolah offline sih seru, yang ga seru tuh ntar gue ujian offline 😭😭😭😭",1
"@Fajri_UN1TY Pagi ajii, absen sekolah offline dulu👋🏻 https://t.co/M6vw6Di1PV",1
"yes offline school is cool, BUT NOT WITH UJIAN OFFLINE DI SEKOLAH",1
@jaemcityx haiii makjii dr aku yg sekolah offline hjhi,1
"@kimiychang @nctzenbase Karna sticker keluarnya hari jumat, orang2 udah punya banyak waktu luang, besoknya juga weekend. Kl favorite ini karna keluarnya hari senin, udah pada banyak yg sekolah, kuliah, kerja offline. Make sense juga sih ga secepet sticker",0
kalian yg sekolah offline apa online?,0
"@cherrybomn @nctzenbase Lah elu yang knp. Gua kan cuma bilang kalo udah pada sekolah offline si sender kalimat pertama aja 4m udah cukup? Udah puas? No! Big no! Kudu ngertiin keadaan juga dong di korea juga lagi pada ujian di indo pada sekolah offline jadi gabisa rajin streaming kaya sebelum""nya",-1
Senin deoann udah sekolah offline yeyyy 😭🙏🏻🔪,1
kenapa sekolah offline tugasnya banyak bat,-1
@basejokitugas adikku lagi sekolah offline nih🤗,1
Kerja offline tapi lebih suka sekolah plis wwkwk https://t.co/V9YPJJ8zMF,1
Sekolah offline ya?,1
@hizeusss Rilisnya hari senin dan akhir bulan :'). Masa masanya orang gawe sama sekolah dan kampus sekarang dah offline juga :'),1
sekolah offline prnya makin banyak anj,-1
"@luffbearr semangat sekolah offline nya melll, mapel apa tuh yg free?",1
GW LG SEKOLAH OFFLINE ANJING MASA IYAAA GUE TERIAK KAYA ORANG GILA DI KELASS DASARR DEJUNNN,-1
@basejokitugas sinii nanti jam 12 aku sekolah offline,1
AAAA GUE ADA SEKOLAH OFFLINE PELAJARANNYA MTKKK MANA GURUNYA GALAK LAGI,-1
"@convomfs Coba berangkat deh nder, buat latihan kalo udah  sekolah offline nanti kan berangkat tiap hari",1
@convomfs ya kalo udah tau dr awal sekolahnya jauh kenapa pilih disitu? kan udah seharusnya take responsibilities sebagai seorang siswa. kalo dari awal offline juga lo bakal ke sekolah tiap hari,0
sekolah offline/online??,0
"SchApp! Yang sekolah offline, semangat ya!

✄・・・
🧐 Trivia: Katak padang pasir hanya keluar selama satu bulan di bulan Juli, dan tidur selama 11 bulan sisanya",1
"hai, hari ini yang sekolah, sekolah nya offline apa online ni?",0
"Pagi moots, yang sekolah offline semangat ya",1
"@zwooflwr Ga pernah tidur nyenyak selama bulan Oktober 😭 sekolah masih online, tapi 2 minggu sekali offline. Okk u too!! Have a nice day too 🤩",1
"Kalian sekolah nya offline/online?
Me: offline https://t.co/hhNLrb025W",0
"hi aku hari ini sekolah offline
kalian offline/online?",0
"Neozen, maaf gak bermaksud menyinggung siapapun. Kalo kalian mau ngingetin streaming gak papa bgt tapi harus baik2 juga jangan maksa apalagi dg kata2 yg kurang baik, inget sebagian drikita ada yg masih sekolah/kerja dan banyk yg mulai offline. Streaming sesempatnya aja  (cont..)",-1
@msahrio sekolah offline atau online nih??,0
"Pagii moots, pada sekolah online atau offline?",0
"@lunaemovas Kita satu kaum, akhirnya ada orang yg gak suka kembali sekolah offline  😆",-1
akhirnya yang lain ngerasain capeknya sekolah offline,-1
"DULU PAS JAMAN MASIH SEKOLAH OFFLINE😭😭😭 pasti aja begini
""yang kalah gantian ya""
""PAKE LAGU YANG SUSAH KEK""
""yang dapet bintang di level hard, nanti aku traktir seblak ws""
""lagu aju nice woiii""
""AAAA APAAN HDUSISHDOSHWIWJWBS"" /kalau kalah https://t.co/qWFgJySwhO",1
sekolah offline https://t.co/Jxgd0T5whw,0
@encity_mlyt offline ini lagi di sekolah,1
@bertanyarl suka sekolah/kerja online/offline??,1
"ini adek-adek w sekolah dpt uang jajan, w di rumah doang ga dpt uang jajan, huaaa kpn kuliah offline",1
pengen sekolah offline tpi gk mau belajar😔☝️,1
"Udah effort bgt ni sekolah offline biar pelajaran, malah jamkos😇",1
