username,tweet,label_sentimen
brxchiosaurs,"@BAALTlDDlES iyaah aman kl gituu xD

WKWKWKWK hayooo
aku kebiasaan sih gatau kenapa emg udh sejak SMP kebiasa bangun jam 4 gitu kalo sekolah/kuliah offline",1
kookooove,Mau nangis gasi kek dulu pas masih normal sama offline sekolah.. setiap bangtan comeback selalu ikut po album trs fullpay mungkin grgr sibuk rl ga kerasa bgt tbtb udh rilis trs pada udh arrived ina 😭😭😭 bener bener se santai itu dulu.. tp skrng kek apa apa jadi lama bgtt 😔😔,0
rschrijven,"so tomorrow finally offline school... i don't know what to react karena pengumumannya tuh dua hari yg lalu, TWO DAYS AGO?? dan gue harus mencari segala peralatan sekolah yang gaktau dmn keberadaannya karena udh 2 tahun gak sekolah",0
O619hnjm,semenjak sekolah offline tambah stress,-1
jimineyy95,"Tiba tiba mikir kaya gini.. 
Sering banget dibilang “hp teross” Nih ya padahal aku pegang hp terus kan juga buat sekolah yak. Kaya.. iya dulu sekolahnya offline jadi pagi sampe sore diem disekolah nggak pegang hp, nah malemnya baru tuh keliatan pegang hp. Tapi kalo sekarang..",1
staysrachaa,@hwngsaint sekolah offline yg bikin aku gabisa tdr 😭,-1
ceikocei,besok aku sekolah offline 👌🏼,1
rainyxiann,"@parachietamol Aku hari ini sekolah offline full satu kelas. Buat aku yg di rumah gak punya temen, hari ini tu seneng banget!!! Having fun with ma bestie avv☹️❤️",1
Duckarinn,"@convomf Ga siap sekolah offline, eh tapi kayaknya gue doang",-1
kimthadess,orang-orang membenci sekolah offline hanya karena keluhan pribadi mereka. tapi apa mereka tidak memikirkan apa yang terjadi di masa yang akan datang? ingin tidak normal terus?,1
kimthadess,"jangan gitu, mending dibiasakan. memang kamu mau sekolah online terus? bisa saja kamu kaya berdoa semoga p word ini diperpanjang lagi. mau sampe kapan? ayo, kalau tidak mau sekolah offline, silakan, masih ada yang namanya home schooling. https://t.co/2f4113NipW",1
haloiniaku09,baru 3 hari sekolah offline gatau knp tp jd kayak mentally unstable,-1
ashratii,adek gue dateng dateng nyari tas sekolah soalnya bsk offline,0
yulsisble,"@nzz0502 Udh masuk, liat kknya sdh sekolah tk dia mau ikutan, jd ku masukin PAUD aja. Offline bund 🤣",1
nyakawr,"besok sekolah offline, sama dl tugas video masak",1
gochujangsss,"@ttoragaleyo Efek mengantuk, ayo kawan jangan tidur malam malam, gutnait aku mau tidur BESOK SEKOLAH OFFLINE GUE VI😭",1
niyeelll,@jnandaradhy @chogiwabois @jeffreyyse kak kok kamu jadi kaya abang tapi kalo kamu online abang offline dah kaya sekolah ye,0
itsnottaura,gek wae wis iso beradaptasi sekolah online malah wis mulai offline hadehh,-1
selirrpejabat,"gue sekolah offline, pdhl di kelas rame bgt. biasanya gue nimbrung ngobrol sama yg lain. tapi ini engga, kenapa ya diem mlu ga seheboh dulu pas kls 10",0
peachyyluvinaja,tugas w di ttp aja banyak walau udh sekolah offline heran deh,-1
bxfvj,MALES BGT BSK SEKOLAH OFFLINE,-1
whtyoufeel,@convomf Bener sekaliii udah semangat kembali menjalani sekolah offline ternyata capeknya malah nambah 2x lipat sedih bangett apa mungkin emang belom terbiasa aja kali yaa wkwk tapi offline bikin lebih paham materi sih.,1
steerzaaf2,"hadehh ternyata lebih enakan sekolah online ya😭 kl offline tu ky apa ya, males bgt kudu mandi pagi, sarapan, terus juga gabisa sambil tiduran HAHAHA 🙏🏻",-1
skrimwerescream,"Stase anak, obgyn, ipd udah mulai jaga ampe pagi 🥺 yuk bisa yuk corona ilaaangg 🥺 aktifitas kuliah sekolah bisa kembali normal juga 🥺

Hari ini vaksinasi anak sma, percobaan mau kelas offline. Semua siswanya ""iya kak, sekolah online mah bego"" 🥺",1
amaruvos,"tbh lebih suka online, gatau kenapa lebih masuk materinya di aku. tapi kalau suasana sekolah lebih suka offline https://t.co/EOJqFinjOo",0
twelvfour,semenjak sekolah offline tidur awal terus bukan emg harus bangun pagi sih tapi lebih ke capee bgtt,-1
bucin_ty,"@convomf Gausah lah buat apa aku juga kok ga buat menurut aku ga guna juga soalnya setahun doang kan offline nya dan aku emg ga deket deket amat and lumayan di aku 300 an sayang duid anjirun biaya sekolah aja dah mahal gue gamau nambahin beban:"")",0
doyoungta,"GUE TAKUT KALO BSK DIA PAS MASUK SEKOLAH MATANYA BENGKAK ANJIRR MANA SEKOLAH OFFLINE LAGI, MASA ENTAR DITANYA SAMA GURU KAMU KENAPA ITU MATANYA? HABIS NANGISIN COWOK AU BU? KAN... BINGGUNG NANTI GURUNYA:(",-1
park_chelsean,pliss ga bisa tidur besok pertama kali sekolah offline setelah beberapa abad😭🙏🏻,-1
edferniee,@cllydefvl capek ya ternyata sekolah offline 😔,-1
blackoolyxx,"YaAllah besok ulangan bio OFFLINE, online sie tapi kita tu offline ngerti gx. Kita ke sekolah ulangan tapi tetep pake hp. TERUS NANTI NASIB KU GIMANEEE. Manalagi belajar trus si bolsi NGIRIM VIDEO JEONGWOO JIHOON KAN SAYA JADI TIDAK JADI BELAJARR",-1
hobi_ngebadut,"@bertanyarl 🙏😭 enak asli, dulu sering beli, jualan nya keliling gitu, sekarang udah jarang lewat, kadang dulu kalo sekolah offline musti pas pulang beli itu 🙏😭",1
ailupyusomuch,Wah sekolah offline tdk cocok untuk manusia pelupa seperti saya. Untungnya td temen ngingetin klo ada pr. Klo g mampoes aku.,-1
jjungeunbie,"@sunewrld @deobifess Jgn dong kita kan blm sekolah offline, nnti km gapunya temen deobi lgi dikelas gmn",0
outofhere23,jd inget pas masih offline dulu sering pake tab sekolah trus gabisa dipake buat buka yutub dan hal2 rekreasi lainnya 👍😭 https://t.co/f8momSslmh,0
stvdyca,"☆ study progress
🗓️ Tue, Oct 26

hai hai! sorry ya aku jadi jarang banget up progress karena udh mulai offline dan jadwal makin padet ga sempet buka twitter. tadi di sekolah ulhar bio sksk. btw chemistry and math for my tuesday ☀️💗 rest well guys! https://t.co/1gKMnYLspm",-1
sikumannakal,"@makmummasjid ""Denger2 gedung kosong itu dulunya sekolah offline ya pak?""
*persiapan basa basi sama bapak2 tahun 2035",0
difaarahmania,dia nyuruh buat baru lagi tadi jam set 8 malem dan disuruh selesai besok padahal besok masuk sekolah offline 😀,0
seakycleora,@deathlyfive lal udah sekolah offline blm?,0
jennstudies,@cuffyins janlup istirahat yin!! aku sekolah nya campur kadang offline/online😵 anw goodnite 💗,0
xxrluluu,Besok sy masuk sekolah (offline)🙂 sy mls sebenernya,-1
467naa,@abbycdeee BTW GAIS TADI KITA SEKOLAH OFFLINE LOH YUHU,1
mrkdyz,"nyesel gua masuk sekolah offline, digibahin guru2 di kantor",-1
yshirona,besok sekolah offline lagi ha.. ha.. ha..,-1
haoxuo,KENAPA SIH SETIAP GUE KEBAGIAN SEKOLAH OFFLINE PASTI ULANGAN 👎🏻👎🏻👎🏻👎🏻 https://t.co/1Aq0eUMJzP,-1
nasigorengcityx,@chitaglorya__ HIIII KAK CHITAAAAA GIMANA HARI INI ? kalo aku hari ini capek bangetttt krn sekolah offline huhu,-1
1311jpg,jgn nanya au feeling blue gmn.. gua gatauu pgn lanjutin apaa lgi kena writer’s block!!! samaa lgi cari kejadian pas sekolah offline biar rada nyata gtu au ny😀😀,1
wortelstruggle,"haloo, junnie disinii. junnie mau bilang, mulai besok sampai minggu depan, junnie bakal PAS offline di sekolah (tidaaaa😭😭). jadii, kemungkinan junnie bakal off sampai junnie selesai PAS. maaf yaa caratdeul semuaa 😔😔👉👈 oiya, buat yang mau PAS atau lagi PAS, junnie doain -c-",0
brthdygirlz,"@crarckers sekolah offline tadi jadi ngerasa cape aja, iyaa ❣️",-1
skycynza,@radenrauf besok ga sekolah offline,0
HIR0MACH1,"@56jae kurang tau kalau study tour itu diadakan kapan, soalnya aku sekolah offline cuman pas kelas 7. Kelas 8 nya daring, sampai kelas 9 aku mulai udah ptm :(",1
the9001s,"@convomf apa ya, dia nanya, kelas berapa... sekolah offline atau online, sukanya sekolah offline atau online",0
kelabangkayang,offline kenapa capek bgt yaa apa krna gue udah ga sekolah lama ya jadi badan nya makin jompo trus kagok,-1
nggonyambat,@bayusaurus @lunai @schfess Kalo di sa pu daerah sempet online 1 semester saja. Jd dr bulan maret sampe agustus. Terus kita offline lg. Dulu pas online ya cmn dr web sekolah/wa. Dikasih file materi aja. Kadang jg ngerjain soal trs kirim wa. Kita gk pake zoom/gmeet/gcr/dsb.,1
itsmecamq,"@skrsbrees IHHB YAUDAH KALAU GITU JANGAN SEKOLAH OFFLINE, NANTI RENA SAKIT! DARING AJA TERUS GPP ASAL RENA NGGAK SAKIT",-1
itsmecamq,"@skrsbrees Ren tukaran yuk, aku juga kepingin sekolah online, tapi malah harus sekolah offline 😢",-1
2kimcityx,Demi apapun pengen sekolah offline,1
mintsy_,"Sekolah offline sesi siang kali ini kok bikin capek bgt yh, malah sampe pusing sekarang",-1
spawstoon,@992sa_ sekolah online or offline,0
lilfoxynana,"alesan utama gw pen sekolah offline biar ga disuruh-suruh, paling benci anak cwo diperlakuin keak raja sedangkan anak cwe like a BABU!",1
sweetyhamm,@reveuseist UDAH MULAI SEKOLAH OFFLINE JUGA JADI AKKSJKSJSKS SIBUK BGTT😩😩😩,-1
ikvyya,@daprivlifee oalah sekolah offline ya?,0
corrasm,aku kalo sekolah offline bisa loh otaknya jalan,1
jnbbyy,sya makan apa ya dlu pas sekolah offline? kok bisa nulis pake aksara sunda. https://t.co/44TozJeg2U,1
myloveliest,"tbh sekolah offline seru aja, wlupun agk canggung krna udh lama ga ktmu tp seengganya gue kluar rumah gt loh???😥",1
bluearesea,gamau sekolah offline:( bisa gasi sekolah nya bisa milih gitu? kayak kalo mau off ya off kalo mau on ya on,-1
Voussmevooyez,AAAAA LARI BESOK SEKOLAH OFFLINE,-1
Voussmevooyez,Besok sekolah offline?!,0
lvvy_matcha,Kadang pengen aj gitu sekolah offline biar ga di rumah trs kesepian tapi juga mikir kalo offline pasti ongkos ojeknya pula👍,0
MashiMoon_,"@thedyzebua97 @kaptenblink Buat yah buka yt,tiktok,ig,twitter,nonton film,main game 🤣 
Kalo sekolah udah offline jadi gk banyak pake kouta🙂",1
duckownie,kalo sekolah offline pilih jamkos https://t.co/ZssyTCRrGQ,1
jaeyungg_,"@bertanyarl Tahun 2019 adalah tahun yg aku rindukan dan juga aku lupakan, dimana mungkin di tahun itu adalah terakhir nya masuk sekolah offline juga seru seruan dan di tahun itu juga papa dan bibi ku meninggal karena penyakit jantung",1
keyvstyles,@hourlykayy jadi mau sekolah offline,1
Firsyhaloushia,"Selalu bawa, kecuali pas sekolah offline sekarang soalnya dilarang bawa bekal https://t.co/ULPeWejrAd",1
0044HRJ,"pernah. ngomong ke mama pas awal awal sekolah offline, jd stiap pulang sklh mama selalu nanya ""td sama siapa di sklh? udh ad temen?"" dan aku slalu jawab ""ga ada. ga punya temen hehe"". mama nyuruh pindah ke sesi pagi, tp aku bilangny ""entaran dulu, liat 1 minggu lg"" gituu. https://t.co/6XJLupinwT",-1
beemarkkeu,@convomf asik gak sekarang sekolah offline nya?,0
hilucassss,@convomf lebih suka sekolah offline apa online?,0
sweetasahii,banget. pas mikirin sekolah offline deg'an mulu https://t.co/6h4vab10IN,-1
milkt3a__,"@Fajri_UN1TY lagi istirahat nih ji, cape abis sekolah offline:(",-1
J_dlsktm,"bentar lagi sekolah offline
musowoooowoowowwo 😭",-1
flackozhs,omg rabu depan gue sekolah offline,1
jeffcrepuscule,Akhirnya besok gua bisa sekolah offline weh private class pula🥲🥲🥲 https://t.co/bq3WwGN95G,1
rapIoey,lah anjrit mampus.. besok sekolah offline tapi ini kaos kaki putih dah kaga tau ilang kemana 😭😭😭😭😭,-1
ciyaely,"biasanya 1 kali, tapi ini sekolah offline, jadi 2 kali https://t.co/kGu9H2Yl6a",0
chsimheree,@convomf sekolah udh offline blm?,0
imtotallyyourss,anjir ak gah sekolah offline ssk ramangkat ah,-1
muhammadfaiqqq,"ajg lah, sekolah offline gurunya makin ngelunjak kalo kasih tugas",-1
FOODFESS2,"Fess seneng banget sekolah udah pada offline lagi, jadi bisa jajan di sd https://t.co/bAelTB56ue",1
skycynza,gamau sekolah offline,-1
schfess,"SchApp! Aku siswa kelas 12 dan sekarang udah sekolah offline, setiap pulang sekolah pasti ngantuk pengen bgt tidur, padahal harusnya belajar untuk UTBK. Kasih tips dong cara kalian bisa melawan rasa kantuk, trus fokus belajar!! (Fyi, aku orangnya ga bisa belajar malem (ga fokus))",1
jeonlvo,"habis dari sekolah bersih bersih lagi kelas, dan mungkin setelah ini per awalan bulan November udah offline Dann bakalll sibukkkk",-1
neoxnora,sekolah offline terus😀,-1
hanwebzite,@mataharibulet Klau lgi sekolah online/offline sih jam 6 lewat gitu trus klau weekend mah jam 12 an 😢😢,0
ardfrka,@moonareas lebih suka sekolah offline apa online?,0
aimyourminess,"Anak twitter yang baru masuk sekolah offline pas mau minjem penghapus ke temennya

""Mjb nder,kamu pnya penghapus ga?""
""Gaada""
*temen satunya nyaut
""Mmf ikutan nimbrung nih aku ada""",1
schfess,"Sch! Sekolah kalian udah seleksi ksn belum? Yang mau ikut seleksi geografi, kalian belajar nya dari mana ya.. apakah bimbel offline??",1
Jdwin1485,"@goowdboy Mau ini boleh ga si😭, buat sekolah offline https://t.co/NBtH0fsZ6W",1
schfess,"sch! gimana nih yg uda sekolah offline coba review dong?? 🫂 
kalo sender : masih belum/jarang interaksi sama temen, pada diem semua :( karena gda waktu istirahat juga, buat mapel jadi lebih paham dan gurunya okee si seru👍🏻 walaupun pulang pulang kerasa capekk 😣",1
shewantsmark,"tp serius loh bingung bgt sm temen kls yg seneng daring😃 lu bayangin gasi kalo offline tuh cuman sekolah 3 jam, guru jrg kasih pr, materi mudah dimengerti, lah daring? tugas, ngejar deadline, materi kaga ngerti, encok, begadang, hadeh",1
vantengguk,"sekolah offline yang awal nya seru, makin lama makin banyak tugas 🥲🥲",-1
peachybootae,PLS SEKOLAH OFFLINE MAY PERGI DUDNHZJS AEFER MY LOVE,1
mievasellyn,ck besok sekolah offline,1
convomf,"💙 mending masuk ptmt atau engga? sikon saat ini aku udh kurang lebih memahami materi sekolah jadi sebenernya ga perlu sekolah offline lagi, udh berani nanya pertanyaan juga jd udh ga sungkan2 lg",-1
pxrnama,"@mogcuu emang sepi moguuuu udh pada balik offline, sekolah kerja jg",0
gunnapstn,kalian dh pada sekolah offline?,0
nanda_z23,"@jaetheriel Iyaa, padahal semangatin aja udah cukup orang kan beda"" ya kesibukannya apalagi ini anak sekolah udah offline ada juga yg udah uts",1
lattemcchiato,"➷ 26-10-2021
JAY TUSPI SCYLLA GEMES BANGET BANGET BANGET 😭 Pulang sekolah offline paket trade dateng rasanya tuh ksjshshjsgsgs 😭💗💕💖 https://t.co/UlifkBSyco",1
sevimaulidah1,@tigerlilyJey Foto terakhir yang bikin orang stress 🥲🙏🏻 tadi abis sekolah offline 😇 bissmilah ya allah 😰🙏🏻 sebelumnya makasih kak udh bikin GA ini sukses selalu 💜 https://t.co/aWHwLk9Jl5,-1
indxlDKS,Sekilas info...... MULAI SENIN DEPAN W SEKOLAH OFFLINE 😭😭😭😭,1
nctbujank,"Aku baru selesai daring, abis siapin bwt besok sekolah offline juga",1
Khayra14994193,@26Z1AX @convomf iya masi ada bau bau online banyak tugas yg makin aneh” mana nanti klau bener udah full offline sekolah ampe soreeeee😭,-1
ridonesoedaryat,"@onnowpurbo Internet offline sebagai solusi Pembelajaran jarak jauh di sekolah

https://t.co/Lx2m9l6653",1
candypiece2,"@bertanyarl Akhirnya masuk sma, punya temen baru, punya kegiatan baru, kebiasaan baru. AH JADI KANGEN SEKOLAH OFFLINE NORMAL KAN GUA ELAH",1
convomfs,"💭 pengen cepet cepet sekolah offline, jujur sekolah jadi satu satunya tempat kabur kalo lagi suntuk dirumah..",1
ARXRENE97,sekolah offline membuat q capek tapi klw gk offline jadi tambah bego tiada tara😩,0
ARXRENE97,@dongsichceng sekolah offline membuatku capek trs tp kalo gak offline jadi tmbh bego😩,0
ica_fs,sekolah offline tuh seseru itu walaupun cape,1
skrupsius,"yg vaksin mahasiswa, yang sekolah offline anak sd, komedi bener",-1
geovlogi,MAU SEKOLAH OFFLINE PLISSSS HUEE,1
Hajaekyuu,"Semenjak covid gw jd kenal kpop dan gk ad overthinking2an, pling ad dikit sama idol klo jrng update gt2 doang. Dan gw jg pindah sekolah pas covid jd temen2 bru blom ad yg tau muka gw. Tp semenjak gw sekolah offline ad beberapa tmn cowo yg ya gt..",-1
byhrsjwwin,"@jnxhwny jujur bener...
terus juga gw kalo sekolah offline no prob ga makan smpe rumah tapi kenapa skolah onlen gw laper mulu sksksk",1
taepictv,"bayangin anjir gue dari tadi pagi kebelet berak, mana sekolah offline",0
dellaabirawa_,"saking dekatnya smp dengan rumah, belnya biasa kedengaran apalagi waktu itu masih sekolah offline. sekarang, belnya kedengaran lagi. senangnyaa everything’s going normal",1
rewnsjuniee,"@doyoungsvr haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
rewnsjuniee,"@sa_rhmsoo haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
rewnsjuniee,"@yochienori haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
rewnsjuniee,"@yraluvs haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
rewnsjuniee,"@jaexuchy haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
rewnsjuniee,"@araacupcakes haloo maaf ya skrg jrg jbjb, udh mulai sekolah offline huhu jd baru bisa jbjb moots pulang sekolah😔",-1
renxnoir,kalian kalo sekolah offline bawa uang jajan brapa?,0
Donghyuckq,@yearmiese Masih sekolah offline?,1
hyunyeongie,"@ShopeeID pengen bgt buat beli laptop min, udah dari lama tapi belum kebeli
Butuh juga krn adekku akhirnya mulai sekolah offline, butuh laptop krn jurusannya

bismillah🙏",1
jualannyabibi,"hii, kalian lagi sekolah offline apa online",0
woodybudduies,"Happy me
Ngantarin gempur sekolah offline 🥰 https://t.co/xYvckz2dFo",1
ay_riil,"ini acc masih aktif yaa, jangan di unfoll :""
cuman aku jarang on karena aku udah sekolah offline",1
wanderluct,lu kalo zoom class matiin kamera ya masuk sekolah offline lgsg begini bentukannya https://t.co/Amb7JOhlGR,-1
NISHlMURARIKI,"@bluehooun ayo mutualan priv kaa klo bolehh, aktif ga aktif si disini xnxknsks semenjak udah sekolah offline agak jarang buka akun ini huee",0
pshkidd0s,sp yang udahhh sekolah offline cung,1
Bubujeduar,@nrtama_ capee sama tugas sekolah online tp klo disuruh offline takut ketemu org baru😭,0
Apriyani96,"@user231103 @armbdr @pearcchlt @mineisel @whtsAppbby Mabal online?
Soalnya setahuku PTM sekolah offline to?",1
heyhiira,@FunthesticL Uda sekolah offline ??,1
softkornn,@paslevotre_16 udah sekolah offline lau?,1
kynghocityx,"semoga 2022 udah bisa sekolah offline kaya biasa yaa, capek bgt begini trs🥲",1
PutuMita15,@Fajri_UN1TY lagi sekolah offline nih kak https://t.co/Fz8ZTA789O,1
ArdanNews,"Kunci Jawaban Buku Tematik Tema 4 Kelas 3 SD Kewajiban dan Hakku di Rumah Halaman 14, 15, 16 dan 17: Meski sudah banyak sekolah yang memulai sekolah offline, namun sebagian besar proses belajar dari rumah masih dilakukan. https://t.co/0HiAyGcbsr",1
akuantariksa,"Jujur anjir, gue ga nyangka bisa lancar ngomong di depan kelas
Udah 2 tahun ga sekolah offline gt kan padahal, tapi tiba-tiba berani",1
Shafira19232949,@Fajri_UN1TY Lagi mau sekolah offline,1
lov1nidle,"haii tabi sudah pulangg sekolah offline , kamu offline atau online ?",0
OmarAlbany,"@A_LuluJKT48 Demi kamu aku sr sambil sekolah, mana sekolah offline",-1
ginxxaax,"@itzelguise @armbdr Mjb, pelajaran tatap muka. Sekolah offline",1
hyunsuksflickv,"Halo guys selamat siang,pada sekolah offline atau daring nihh",0
itsmecamq,@skrsbrees Loh masih daring?? Kukira udah sekolah offline,1
jeonhongie,Svt konser online apa offline? Kaget bgt baru pulang sekolah 😢,0
jaceminlatte,Yang sekolah offline biasanta pulang jam berapaa?🤔,1
donttalkkk,"@schfess gpp kali beb, lu bisa sekolah offline aja udah sukur 😭 kangen tau daripada online dirumah sampe lulus",1
drizzlebeez,@ournutrijijel Gue udah sekolah offline,1
dolaxyx,"@Fajri_UN1TY nugas nii,ak lgi sekolah offline",1
eunoiarainnn,"@Fajri_UN1TY lagi sekolah offline ji, ngantuk bangun tidur",-1
seesawpie,gasabar merasakan moment pulang sekolah pas sekolah offline,1
seaggulkim,Gasuka sekolah offline tapi cape sekolah online,-1
RachelRhabani,"Giliran sekolah nya offline malah ga dibolehin sekolah, hadu.",1
belongstolia,aaaa aku gak siap buat sekolah offline back normal,-1
caramellmw,Kalian hari ini sekolah nya offline/online?,0
yutyutacho,"@alrighvt seruu xixi, sekolah nya offline atau online nii? jangan lupa makan yaa, hv a nice day!",1
schfess,Pagii semua untuk yang sekolah offline semangat semuanya sch! https://t.co/1YIyyrkC9k,1
jayparkchingu,Banyak yg udah offline ya sekolah/kuliahnya,1
yuddingt,baru aja tadi bilang kangen sekolah offline wkwkwk https://t.co/SHsuaS2aE8,1
kthunvx,@taedyflowery Ka mi Udah luluss sekolah? Atau blum offline?,0
juneehui,"aaa ko gada yg bilangin ak hpbd, lagi sekolah offline 😭😭😭 https://t.co/h6tmTxQk2S",1
blowoutbeats,"besok sekolah offline, malam ini gw sibuk ngerjain semua tugas",-1
kzhvcxx,sekolah offline bikin bete,-1
ssweetbbyz,"mau izin rest deh, ku mulai aktif sekolah offline. yang daring pun penuh tugas 😔",0
ttikaaaa_,"@Fajri_UN1TY Haii aji,, lagi apa ni?
Aku lagi sekolah offline https://t.co/crYc4aVy1S",1
xcottonbabea,"@nctzenbase streamingnya liat waktu juga dimana waktu kalian luang, soalnya sekarang udah banyak yang sekolah offline looo ada yg kuliah jg, apalagi ini weekday kan ya, tp kalo kalian senggang yuk streaming🤩🤩🤩",0
Laviendya,"@alyaavrd morning, lagi sekolah offline ya bestie. ☺️",1
martabakjensoo,@oh4eva Sekolah offline njir aku hari ini,-1
moonismaples,"@yeolbabylion SEMANGAT NA 😭 sekolah offline sih seru, yang ga seru tuh ntar gue ujian offline 😭😭😭😭",1
pbysalsabila,"@Fajri_UN1TY Pagi ajii, absen sekolah offline dulu👋🏻 https://t.co/M6vw6Di1PV",1
moonismaples,"yes offline school is cool, BUT NOT WITH UJIAN OFFLINE DI SEKOLAH",1
BigWinSepcitcyx,@jaemcityx haiii makjii dr aku yg sekolah offline hjhi,1
terjehajeha,"@kimiychang @nctzenbase Karna sticker keluarnya hari jumat, orang2 udah punya banyak waktu luang, besoknya juga weekend. Kl favorite ini karna keluarnya hari senin, udah pada banyak yg sekolah, kuliah, kerja offline. Make sense juga sih ga secepet sticker",0
15november2002,kalian yg sekolah offline apa online?,0
